Year,RWI
1880,0.69366374
1881,1.020179386
1882,0.724789843
1883,0.947772261
1884,0.873368089
1885,1.171540064
1886,1.324955688
1887,0.953470775
1888,1.047917148
1889,1.192343504
1890,1.024765055
1891,1.154079092
1892,0.890498405
1893,1.053052326
1894,0.6776709
1895,0.987634523
1896,0.82067763
1897,0.967981048
1898,1.157879113
1899,0.560222842
1900,1.007588277
1901,0.936959523
1902,1.111238969
1903,0.713112497
1904,1.208193165
1905,1.301450312
1906,1.110605994
1907,1.203681045
1908,1.148981964
1909,0.91068651
1910,1.135459037
1911,1.097484758
1912,1.040392094
1913,0.754092463
1914,1.17105605
1915,1.348055115
1916,0.685448113
1917,0.803093521
1918,1.097773086
1919,0.978450413
1920,1.346016382
1921,0.719635928
1922,0.95911218
1923,0.933890799
1924,1.153353126
1925,0.923682776
1926,1.099432123
1927,0.908920541
1928,0.842664648
1929,0.909464035
1930,1.046361009
1931,1.109682689
1932,0.909862664
1933,0.866373619
1934,0.995283662
1935,0.910137928
1936,0.930456695
1937,0.798990699
1938,1.024733737
1939,0.860089016
1940,1.060142334
1941,1.107251947
1942,1.125465918
1943,0.843411429
1944,1.017387162
1945,1.115043249
1946,0.955067091
1947,1.106435252
1948,1.000442193
1949,1.058721482
1950,0.834218083
1951,0.941772371
1952,1.097932098
1953,1.277339775
1954,0.819179625
1955,1.164035228
1956,0.791325595
1957,0.678463665
1958,1.200945907
1959,0.816988557
1960,1.307568716
1961,1.234286963
1962,1.135650135
1963,1.208644716
1964,0.674699378
1965,1.057697136
1966,1.206803489
1967,1.012800636
1968,1.181845634
1969,0.975600258
1970,0.951375218
1971,1.033549907
1972,0.830675611
1973,1.036132474
1974,0.613113794
1975,0.821117499
1976,0.704340102
1977,0.993730896
1978,0.901200435
1979,0.896016008
1980,0.904422387
1981,1.217269093
1982,0.829213416
1983,0.976736229
1984,0.88285461
1985,0.958178346
1986,1.203739251
1987,1.111981732
1988,1.181445592
1989,1.027607388
1990,1.254931633
1991,0.657867314
1992,1.327870678
1993,0.806789721
1994,1.155607129
1995,0.976296144
1996,1.303008813
1997,0.797838146
1998,1.127523437
1999,0.607530806
2000,1.029211998
2001,1.208193232
2002,0.841564689
2003,1.101484075
2004,1.16280966
2005,1.205952715
2006,0.715924872
2007,1.111221721
2008,1.038689508
2009,1.006008017
2010,0.950628911
2011,0.62747617
2012,0.833603484
2013,0.99581843
2014,0.906065017
2015,NA
