No.	Latin	Mnemonic	SubSpecies	Quadrat	PX	PY	TreeID	Tag	StemID	StemTag	Census	DBH	HOM	Date	Codes	Stem	Status
1	Abarema macradenia	pit1ma		0401	95.30000	26.90000	212157	240363	212157		9	81	1.30	2020-01-29			alive
2	Abarema macradenia	pit1ma		0503	105.30000	77.00000	207701	235592	207701		9			2020-01-30	D		dead
3	Abarema macradenia	pit1ma		0503	105.30000	77.00000	207701	235592	1075783		9			2020-01-30	D		dead
4	Abarema macradenia	pit1ma		0803	161.13562	77.35771	501586	908040	1049452		9	79	1.30	2020-02-05	A		alive
5	Abarema macradenia	pit1ma		0904	194.27231	83.28960	502355	909085	1050276		9	43	1.30	2020-02-27			alive
6	Acalypha diversifolia	acaldi		0000	5.37616	16.71729	230880	260033	562607		9	29	1.30	2020-01-21			alive
7	Acalypha diversifolia	acaldi		0000	1.30000	14.60000	305779	500004	793832		9			2020-01-21	D		dead
8	Acalypha diversifolia	acaldi		0000	1.20000	15.80000	305780	500005	588985		9			2020-01-21	D		dead
9	Acalypha diversifolia	acaldi		0000	1.90000	12.20000	344834	700001	746564	1	9	29	1.30	2020-01-21	L;M		alive
10	Acalypha diversifolia	acaldi		0000	1.90000	12.20000	344834	700001	1089812	4	9	25	1.30	2020-01-21			alive
11	Acalypha diversifolia	acaldi		0000	1.90000	12.20000	344834	700001	834750	3	9	22	1.30	2020-01-21			alive
12	Acalypha diversifolia	acaldi		0000	1.90000	12.20000	344834	700001	1089814	6	9	16	1.30	2020-01-21			alive
13	Acalypha diversifolia	acaldi		0000	1.90000	12.20000	344834	700001	1089813	5	9	15	1.30	2020-01-21			alive
14	Acalypha diversifolia	acaldi		0000	1.90000	12.20000	344834	700001	796055	2	9			2020-01-21	Cs		stem dead
15	Acalypha diversifolia	acaldi		0000	2.10000	13.90000	344835	700002	683111	1	9	36	1.30	2020-01-21	L;M		alive
16	Acalypha diversifolia	acaldi		0000	2.10000	13.90000	344835	700002	1089815	2	9	14	1.30	2020-01-21			alive
17	Acalypha diversifolia	acaldi		0000	2.10000	13.90000	344835	700002	1089816	3	9	12	1.30	2020-01-21			alive
