tree,n_missing_total,n_missing_1980_on,n_outliers_total
AZA0101B_raw,40,8,0
AZA0101C_raw,42,8,1
AZA0102B_raw,28,8,0
AZA0102C_raw,18,8,1
AZA0103A_raw,45,8,0
AZA0103C_raw,41,8,2
AZA0104B_raw,71,19,0
AZA0104C_raw,71,19,0
AZA0105B_raw,39,8,0
AZA0105C_raw,43,8,1
AZA0106A_raw,19,8,0
AZA0106B_raw,19,8,0
AZA0107A_raw,24,8,1
AZA0107B_raw,20,8,1
AZA0108A_raw,56,8,1
AZA0108B_raw,49,8,1
AZA0109A_raw,32,8,1
AZA0109B_raw,35,8,0
AZA0110A_raw,35,8,2
AZA0110B_raw,39,8,0
AZA0111A_raw,19,8,1
AZA0111B_raw,19,8,2
AZA0112A_raw,25,8,0
AZA0113A_raw,8,8,0
AZA0113B_raw,22,8,1
AZA0114A_raw,38,8,0
AZA0114B_raw,26,8,1
AZA0115A_raw,25,8,1
AZA0115B_raw,25,8,2
