park,tree,oldest_rng,center_yr,lat_dd,lon_dd,date,dbh_cm,height_m,std_dead,fall_dead,vigor_pct,fire
canyonlands np,CNY01,1867,1867,38.3677592,-110.0111344,6/2/2019,69,9,0,0,40,0
canyonlands np,CNY02,1924,1920,38.36575784,-110.0116684,6/2/2019,58.7,10.5,0,0,40,0
canyonlands np,CNY03,1920,1919,38.36616794,-110.0096364,6/2/2019,49.8,10.2,0,0,50,0
canyonlands np,CNY04,1927,1926,38.36591488,-110.0096817,6/2/2019,61.1,7.2,0,0,50,0
canyonlands np,CNY05,1923,1913,38.36736838,-110.0068705,6/2/2019,54.8,8.4,0,0,70,0
canyonlands np,CNY06,1966,1964,38.3691137,-110.0045133,6/2/2019,56.5,10.4,0,0,90,0
canyonlands np,CNY07,1982,1982,38.37709931,-109.9967946,6/2/2019,54.8,11,0,0,95,0
canyonlands np,CNY08,1888,1886,38.36802413,-110.0145666,6/3/2019,105,8.5,0,0,60,0
canyonlands np,CNY09,1867,1865,38.38902474,-109.9738019,6/3/2019,64.7,9.2,0,0,85,0
canyonlands np,CNY10,1947,1947,38.38527548,-109.9846485,6/3/2019,79.4,15.2,0,0,90,0
canyonlands np,CNY11,1961,1961,38.38715101,-109.9774273,6/3/2019,25,10.4,0,0,30,0
canyonlands np,CNY12,1973,1973,38.38727782,-109.9769677,6/3/2019,24.8,4.9,0,0,70,0
canyonlands np,CNY13,1986,1984,38.38761725,-109.9764581,6/3/2019,61.7,12.4,0,0,95,0
canyonlands np,CNY14,1979,1978,38.38680576,-109.9762123,6/3/2019,35,11.6,0,0,80,0
canyonlands np,CNY15,1886,1885,38.38631265,-109.9765366,6/3/2019,68.8,11.4,0,0,55,0
canyonlands np,CNY16,1968,1965,38.38645158,-109.9758269,6/3/2019,47.8,13.5,0,0,90,0
canyonlands np,CNY17,1852,-999,38.38476653,-109.9747638,6/3/2019,79,11.5,0,0,85,0
canyonlands np,CNY18,1873,-999,38.38436323,-109.9757928,6/3/2019,51.8,7.2,0,0,50,0
canyonlands np,CNY19,2004,2004,38.3683284,-109.9776511,6/3/2019,26.3,11,0,0,90,0
canyonlands np,CNY20,1996,1996,38.36794405,-109.9779269,6/3/2019,32.8,11,0,0,95,0
canyonlands np,CNY21,1928,1928,38.36459049,-109.9869391,6/4/2019,66.5,10.2,0,0,40,0
canyonlands np,CNY22,1864,1862,38.36365883,-109.9872031,6/4/2019,-999,-999,0,0,50,0
canyonlands np,CNY23,1993,1992,38.36531905,-109.98001,6/4/2019,23.8,7.5,0,0,90,0
canyonlands np,CNY24,1995,1995,38.36422826,-109.9805366,6/4/2019,19.1,10.8,0,0,65,1
canyonlands np,CNY25,1992,1992,38.36322775,-109.9805322,6/4/2019,32.9,12.1,0,0,70,1
canyonlands np,CNY26,1990,1989,38.3621711,-109.9830465,6/4/2019,37.8,14.4,0,0,85,1
canyonlands np,CNY27,1993,1991,38.36178378,-109.9831622,6/4/2019,55.8,15.5,0,0,65,1
canyonlands np,CNY28,1990,1990,38.36113325,-109.9824332,6/4/2019,27.8,8.1,0,0,75,1
canyonlands np,CNY29,1964,1964,38.36146477,-109.9812956,6/4/2019,41.5,14.4,0,1,0,1
canyonlands np,CNY30,2006,2006,38.3603337,-109.9830496,6/4/2019,28.2,11.2,0,0,100,1
canyonlands np,CNY31,2011,2011,38.35989616,-109.982551,6/4/2019,26.8,11,0,0,95,1
canyonlands np,CNY32,1932,1932,38.35991682,-109.9818367,6/4/2019,60.5,-999,1,0,0,1
canyonlands np,CNY33,1938,1937,38.3597758,-109.9809906,6/4/2019,52.6,-999,0,1,0,1
canyonlands np,CNY34,2009,2007,38.35974198,-109.9844381,6/4/2019,19.5,11.2,0,0,85,1
canyonlands np,CNY35,1936,1936,38.35912318,-109.9814662,6/4/2019,27.7,-999,0,1,0,1
canyonlands np,CNY36,2007,2007,38.35893719,-109.9823898,6/4/2019,37.8,12.6,0,0,100,1
canyonlands np,CNY37,2005,2005,38.35850133,-109.9852137,6/4/2019,19.9,12.4,0,0,85,1
canyonlands np,CNY38,2011,-999,38.35796233,-109.9850204,6/4/2019,40.8,9.6,0,0,95,1
canyonlands np,CNY39,1950,1949,38.35785328,-109.9832638,6/4/2019,65.8,-999,1,0,0,1
canyonlands np,CNY40,1935,1935,38.3574305,-109.9828183,6/4/2019,65.5,-999,0,1,0,1
canyonlands np,CNY41,1927,1925,38.35397209,-109.9815763,6/5/2019,46.2,-999,1,0,0,1
canyonlands np,CNY42,-999,-999,38.35333655,-109.9810003,6/4/2019,36.2,7.4,0,1,0,1
canyonlands np,CNY43,1925,-999,38.35299815,-109.9808758,6/5/2019,30.4,13.8,0,1,0,1
canyonlands np,CNY44,1933,1932,38.35254273,-109.9815573,6/5/2019,26.4,-999,0,1,0,1
canyonlands np,CNY45,1955,1955,38.34137279,-109.9699038,6/5/2019,47.8,9,0,0,90,0
canyonlands np,CNY46,1923,-999,38.35429374,-109.9476175,6/5/2019,69.6,9.6,0,0,85,0
canyonlands np,CNY47,1877,-999,38.35362051,-109.94417,6/5/2019,62.7,7.2,0,0,75,0
canyonlands np,CNY48,1938,-999,38.35343942,-109.9439011,6/5/2019,44.5,5.4,0,0,55,0
canyonlands np,CNY49,1894,-999,38.35355053,-109.9438753,6/5/2019,76.8,9,0,0,65,0
canyonlands np,CNY50,1872,-999,38.3532554,-109.943155,6/5/2019,110.6,9.4,0,0,75,0
canyonlands np,CNY51,1888,-999,38.35380059,-109.9438587,6/5/2019,71.4,11.2,0,0,75,0
canyonlands np,CNY52,1901,1896,38.35302647,-109.9427498,6/5/2019,69.2,7.6,0,0,55,0
dinosaur nm,DLP01,1916,1916,40.447463,-108.513132,9/1/2018,67,16.5,0,0,55,0
dinosaur nm,DLP02,1914,1914,40.44769,-108.512519,9/1/2018,48,14.5,0,0,50,0
dinosaur nm,DLP03,1916,1916,40.448514,-108.513503,9/1/2018,64.1,16.3,0,0,85,0
dinosaur nm,DLP04,1918,1918,40.448807,-108.513232,9/1/2018,109.9,15.9,0,0,95,0
dinosaur nm,DLP05,1998,1996,40.449271,-108.514531,9/2/2018,47.5,14.4,0,0,95,0
dinosaur nm,DLP06,1913,1913,40.448274,-108.516035,9/2/2018,77.8,15.4,0,0,50,0
dinosaur nm,DLP07,1988,1988,40.449006,-108.517335,9/2/2018,30.9,13.7,0,0,40,0
dinosaur nm,DLP08,1918,1917,40.448336,-108.518254,9/2/2018,58.1,15.8,0,0,55,0
dinosaur nm,DLP09,1992,1992,40.449314,-108.519195,9/2/2018,17,7,0,0,90,0
