age_CE,06MG-01b_raw,06MG-02a_raw,06MG-03a_raw,06MG-08a_raw,06MG-08b_raw,06MG-15a_raw,06MG-16a_raw,06MG-16b_raw,06MG-21a_raw,06MG-21b_raw,06MG-22a_raw,06MG-22b_raw,07MG-02a_raw,07MG-02b_raw,07MG-04a_raw,07MG-04b_raw,07MG-05a_raw,07MG-05b_raw,07MG-06a_raw,07MG-06b_raw,07MG-07a_raw,07MG-07b_raw,07MG-11a_raw,07MG-11b_raw,06MG-01b_raw_outlier_flag,06MG-02a_raw_outlier_flag,06MG-03a_raw_outlier_flag,06MG-08a_raw_outlier_flag,06MG-08b_raw_outlier_flag,06MG-15a_raw_outlier_flag,06MG-16a_raw_outlier_flag,06MG-16b_raw_outlier_flag,06MG-21a_raw_outlier_flag,06MG-21b_raw_outlier_flag,06MG-22a_raw_outlier_flag,06MG-22b_raw_outlier_flag,07MG-02a_raw_outlier_flag,07MG-02b_raw_outlier_flag,07MG-04a_raw_outlier_flag,07MG-04b_raw_outlier_flag,07MG-05a_raw_outlier_flag,07MG-05b_raw_outlier_flag,07MG-06a_raw_outlier_flag,07MG-06b_raw_outlier_flag,07MG-07a_raw_outlier_flag,07MG-07b_raw_outlier_flag,07MG-11a_raw_outlier_flag,07MG-11b_raw_outlier_flag
1573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA
1577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA
1578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA
1579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA
1580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA
1581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA
1582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA
