SPEI,lag,mean,lower_95,upper_95,lower_99,upper_99,lower_99_9,upper_99_9
FIT12,-6,-0.043,-0.636,0.636,-0.836,0.836,-1.069,1.069
FIT12,-5,-0.018,-0.616,0.616,-0.809,0.809,-1.035,1.035
FIT12,-4,0.166,-0.619,0.619,-0.813,0.813,-1.04,1.04
FIT12,-3,0.202,-0.624,0.624,-0.82,0.82,-1.049,1.049
FIT12,-2,-0.188,-0.628,0.628,-0.825,0.825,-1.055,1.055
FIT12,-1,-0.41,-0.617,0.617,-0.811,0.811,-1.037,1.037
FIT12,0,-0.636,-0.631,0.631,-0.829,0.829,-1.06,1.06
FIT12,1,-0.467,-0.657,0.657,-0.863,0.863,-1.104,1.104
FIT12,2,-0.188,-0.645,0.645,-0.847,0.847,-1.083,1.083
FIT12,3,-0.038,-0.632,0.632,-0.83,0.83,-1.061,1.061
FIT12,4,-0.017,-0.636,0.636,-0.835,0.835,-1.069,1.069
FIT24,-6,-0.178,-0.639,0.639,-0.839,0.839,-1.074,1.074
FIT24,-5,0.044,-0.649,0.649,-0.853,0.853,-1.091,1.091
FIT24,-4,0.113,-0.628,0.628,-0.825,0.825,-1.055,1.055
FIT24,-3,0.268,-0.633,0.633,-0.832,0.832,-1.064,1.064
FIT24,-2,-0.052,-0.628,0.628,-0.825,0.825,-1.055,1.055
FIT24,-1,-0.253,-0.627,0.627,-0.824,0.824,-1.054,1.054
FIT24,0,-0.709,-0.628,0.628,-0.826,0.826,-1.056,1.056
FIT24,1,-0.499,-0.643,0.643,-0.845,0.845,-1.081,1.081
FIT24,2,-0.52,-0.647,0.647,-0.85,0.85,-1.087,1.087
FIT24,3,-0.178,-0.629,0.629,-0.827,0.827,-1.058,1.058
FIT24,4,0.015,-0.629,0.629,-0.826,0.826,-1.057,1.057
FIT48,-6,-0.682,-0.675,0.675,-0.886,0.886,-1.134,1.134
FIT48,-5,-0.428,-0.672,0.672,-0.883,0.883,-1.129,1.129
FIT48,-4,0.028,-0.664,0.664,-0.872,0.872,-1.116,1.116
FIT48,-3,0.207,-0.67,0.67,-0.88,0.88,-1.126,1.126
FIT48,-2,-0.027,-0.659,0.659,-0.866,0.866,-1.108,1.108
FIT48,-1,-0.102,-0.651,0.651,-0.856,0.856,-1.095,1.095
FIT48,0,-0.501,-0.644,0.644,-0.847,0.847,-1.083,1.083
FIT48,1,-0.698,-0.646,0.646,-0.848,0.848,-1.085,1.085
FIT48,2,-0.647,-0.651,0.651,-0.855,0.855,-1.094,1.094
FIT48,3,-0.393,-0.647,0.647,-0.85,0.85,-1.087,1.087
FIT48,4,-0.33,-0.636,0.636,-0.835,0.835,-1.069,1.069
