Columbine_DataDictionary,,,,
,,,,
File Name,Field Name,Description,Units,Valid values or range of valid values
Columbine_UpdateTreeLevelData,Site,Unique identifier assigned in the field to sampling site,NA,NA
,Sample ID,Unique identifier assigned in the field to sampled tree,NA,NA
,Lat,Plot center geographic coordinates: latitude,Decimal degrees,39.88 to 40.11
,Lon,Plot center geographic coordinates: longitude,Decimal degrees,-106.13 to -105.04
,Elevation,Plot center elevation in meters,Meters,2558 to 3200
,DBH,Tree diameter at breast height in centimeters,Centimeters,44.0 to 86.5
,Start,Earliest calendar year measured,Calendar year,1417 to 1910
,End,Last calendar year measured,Calendar year,2020 to 2021
,Species,Latin name for the tree species,NA,NA
ColumbineRingWidths_UpdateRaw,Year,Absolute year assignment to ring,Calendar year,
,HSU(#),"Measured ring width of annual ring  growth_ Core sample identification HSU for first collection, two per tree denoted A or B",Millimeters,0.209 to 4.131
,LCU(#),"Measured ring width  of annual ring  wood growth_ Core sample identification LCU for second collection, two per tree denoted A or B",Millimeters,0 to 3.402
,MLU(#),"Measured ring width of annual ring  growth_ Core sample identification MLU for first collection, two per tree denoted A or B",Millimeters,0 to 2.903
,VMU(#),"Measured ring width of annual ring  growth_ Core sample identification VMU for first collection, two per tree denoted A or B",Millimeters,0 to 5.085
Columbine_ChronologyStatistics,Site Code,Three-letter code assigned to each chronology update site,NA,NA
,Detrending,Type of detrending treatment for each series_ Isolates site level signal and is first-level prepartaion for site chronology development,NA,NA
,n_cores,The number of cores,Number,39 to 49
,rbar_wt,The mean of the correlations between series from the same tree over all trees,Number,0.47 to 0.746
,rbar_bt,The mean interseries correlation between all series from different trees,Number,0.265 to 0.527
,rbar_eff,The effective signal calculated as rbar_bt / (rbar_wt + (1-rbar_wt) / c_eff) ,Number,0.35 to 0.593
,eps,The expressed population signal calculated using the average number of trees as n * rbar_eff / ((n - 1) * rbar_eff + 1),Number,0.919 to  0.974
,snr,The signal to noise ratio calculated using the average number of trees as n * rbar_eff / (1-rbar_eff),Number,11.286 to 37.935
Columbine_ TWChronologies,Year,Absolute year assignment to ring,Calendar year,1070 to 2021
,HSUs,"Standardized HSU update PSME chronology, includes original collection raw data (Woodhouse; ITRDB CO606)_ Individual series detrended, averaged and standardized",Unitless,0.168872824 to 2.139120575
,HSUr,"Residual HSU update PSME chronology, includes original collection raw data (Woodhouse; ITRDB CO606)_ Individual series detrended, averaged and standardized with autocorrelation removed",Unitless,0.189358443 to 1.925696924
,HSUsamp,Sample Depth: Number of HSU samples contributing to chronology update in a given year,Number,1 to 39
,LCUs,"Standardized LCU update PCEN chronology, includes original collection raw data (Brown; ITRDB CO587)_ Individual series detrended, averaged and standardized",Unitless,0.374627983 to 1.767529024
,LCUr,"Residual LCU update PCEN chronology, includes original collection raw data (Brown; ITRDB CO587)_ Individual series detrended, averaged and standardized with autocorrelation removed",Unitless,0.590385323 to 1.548054798
,LCUsamp,Sample Depth: Number of LCU samples contributing to update chronology in a given year,Number,2 to 39
,MLUs,"Standardized MLU PIPO chronology, includes original collection raw data (Graybill; ITRDB CO544)_ Individual series detrended, averaged and standardized",Unitless,0.204529484 to 2.340921804
,MLUr,"Residual MLU PIPO chronology, includes original collection raw data (Graybill; ITRDB CO544)_ Individual series detrended, averaged and standardized with autocorrelation removed",Unitless,0.054001366 to 1.943607042
,MLUsamp,Sample Depth: Number of MLU samples contributing to update chronology in a given year,Number,1 to 38
,VMUs,"Standardized VMU PSME chronology, includes original collection raw data (Woodhouse; ITRDB CO630)_ Individual series detrended, averaged and standardized",Unitless,0.166147858 to 2.841535385
,VMUr,"Residual VMU PSME chronology, includes original collection raw data (Woodhouse; ITRDB CO630)_ Individual series detrended, averaged and standardized with autocorrelation removed",Unitless,0.313939673 to 2.214736907
,VMUsamp,Sample Depth: Number of VMU samples contributing to update chronology in a given year,Number,1 to 49
,CO635s,"Standardized Cameron Pass ABLA chronology (Bigler; ITRDB CO635)_ Raw data obtained from the International Tree-Ring Database_ Indivdual series detrended, averaged and standardized",Unitless,706 to 1505
,CO635r,"Residual Cameron Pass ABLA chronology (Bigler; ITRDB CO635)_ Raw data obtained from the International Tree-Ring Database_ Indivdual series detrended, averaged and standardized with autocorrelation removed",Unitless,705 to 1414
,CO634s,"Standardized Cameron Pass PICO chronology (Bigler; ITRDB CO634)_ Raw data obtained from the International Tree-Ring Database_ Indivdual series detrended, averaged and standardized",Unitless,745 to 1232
,CO634r,"Residual Cameron Pass PICO chronology (Bigler; ITRDB CO634)_ Raw data obtained from the International Tree-Ring Database_ Indivdual series detrended, averaged and standardized with autocorrelation removed",Unitless,734 to 1212
,CO633s,"Standardized Cameron Pass PCEN chronology (Bigler; ITRDB CO633)_ Raw data obtained from the International Tree-Ring Database_ Indivdual series detrended, averaged and standardized",Unitless,615 to 1431
,CO633r,"Residual Cameron Pass PCEN chronology (Bigler; ITRDB CO633)_ Raw data obtained from the International Tree-Ring Database_ Indivdual series detrended, averaged and standardized with autocorrelation removed",Unitless,608 to 1389
,CO622s,"Standardized Rustic PIPO chronology (Woodhouse; ITRDB CO622)_ Raw data obtained from the International Tree-Ring Database_ Indivdual series detrended, averaged and standardized",Unitless,98 to 2111
,CO622r,"Residual Rustic PIPO chronology (Woodhouse; ITRDB CO622)_ Raw data obtained from the International Tree-Ring Database_ Indivdual series detrended, averaged and standardized with autocorrelation removed",Unitless,14 to 1977
,CO586s,"Standardized Fool Creek PCEN chronology (Brown; ITRDB CO586)_ Raw data obtained from the International Tree-Ring Database_ Indivdual series detrended, averaged and standardized",Unitless,391 to 1691
,CO586r,"Residual Fool Creek PCEN chronology (Brown; ITRDB CO586)_ Raw data obtained from the International Tree-Ring Database_ Indivdual series detrended, averaged and standardized with autocorrelation removed",Unitless,0.632185164 to 1.454359924
,CO581s,"Standardized Seedhouse PSME chronology (Woodhouse; ITRDB CO581)_ Raw data obtained from the International Tree-Ring Database_ Indivdual series detrended, averaged and standardized",Unitless,338 to 1820
,CO581r,"Residual Seedhouse PSME chronology (Woodhouse; ITRDB CO581)_ Raw data obtained from the International Tree-Ring Database_ Indivdual series detrended, averaged and standardized with autocorrelation removed",Unitless,437 to 1613
,CO613s,"Standardized New North Park PSME chronology (Woodhouse; ITRDB CO613)_ Raw data obtained from the International Tree-Ring Database_ Indivdual series detrended, averaged and standardized",Unitless,92 to 2322
,CO613r,"Residual New North Park PSME chronology (Woodhouse; ITRDB CO613)_ Raw data obtained from the International Tree-Ring Database_ Indivdual series detrended, averaged and standardized with autocorrelation removed",Unitless,49 to 2238
