year,month,PET,BAL,FIT1,FIT3,FIT6,FIT12,FIT24,FIT48
1947,1,0.00,19.10,0.484835982,NA,NA,NA,NA,NA
1947,2,0.00,59.50,0.452451977,NA,NA,NA,NA,NA
1947,3,0.11,46.29,0.431428821,0.484947786,NA,NA,NA,NA
1947,4,1116.24,-1069.34,-1.600024532,0.452467292,NA,NA,NA,NA
1947,5,1195498071.00,-1195498009.00,-2.767664647,-2.534029478,NA,NA,NA,NA
1947,6,18916839227.00,-18916839164.00,-1.167135315,-1.196108474,0.225427567,NA,NA,NA
1947,7,159336000000000.00,-159000000000000.00,-2.800265036,-2.796444885,-2.793718069,NA,NA,NA
1947,8,31066100000000.00,-31100000000000.00,-1.518913168,-2.22191165,-2.221915002,NA,NA,NA
1947,9,2001510000000.00,-2000000000000.00,0.209320659,-1.965676208,-1.965164681,NA,NA,NA
1947,10,85048392.62,-85048339.22,0.582571736,-0.356066801,-1.420684837,NA,NA,NA
1947,11,0.00,21.50,0.71063848,0.694878473,-1.35796183,NA,NA,NA
1947,12,0.00,18.60,0.546027309,0.722593155,-1.323708826,-1.301549812,NA,NA
1948,1,0.00,33.10,0.484835982,0.698826435,-0.0951864,-1.293637717,NA,NA
1948,2,0.00,30.50,0.452451784,0.520824088,0.765307614,-1.293512064,NA,NA
1948,3,0.00,41.40,0.431256408,0.484947786,0.71607121,-1.293511572,NA,NA
1948,4,38886.53,-38853.13,-2.932856819,0.452215748,0.69875576,-1.293511572,NA,NA
1948,5,4829526161.00,-4829526148.00,-3.210052225,-3.014372579,0.5071549,-1.293524913,NA,NA
1948,6,1480690000000.00,-1480000000000.00,-3.007563146,-3.006961988,-1.725101137,-1.298823958,NA,NA
1948,7,150308000000000.00,-150000000000000.00,-2.77939396,-2.779018848,-2.776254588,-1.299165864,NA,NA
1948,8,27386600000000.00,-27400000000000.00,-1.44893752,-2.192879269,-2.192892586,-1.271775134,NA,NA
1948,9,4424640000000.00,-4420000000000.00,-0.204989718,-1.933196668,-1.937432214,-1.277210938,NA,NA
1948,10,13026332.77,-13026319.37,0.582586173,-0.330845535,-1.390232561,-1.29152776,NA,NA
1948,11,0.00,44.50,0.71063848,0.50999712,-1.325923412,-1.294016687,NA,NA
1948,12,0.00,80.60,0.546027309,0.722601621,-1.284941884,-1.26790247,-1.233124611,NA
1949,1,0.00,24.40,0.484835982,0.698826435,-0.0679449,-1.259975512,-1.223051797,NA
1949,2,0.00,11.10,0.452451654,0.520824088,0.603310389,-1.259847468,-1.222979841,NA
1949,3,3.28,52.22,0.431637906,0.484947785,0.716078977,-1.259846967,-1.222979578,NA
1949,4,596926.04,-596900.84,-3.700920729,0.448514794,0.698755539,-1.259846969,-1.22297958,NA
1949,5,195912552.10,-195912495.50,-2.095628472,-1.792784871,0.520366692,-1.259828634,-1.222977953,NA
1949,6,280054000000.00,-280000000000.00,-2.411239334,-2.409298126,-0.889943772,-1.25499237,-1.22359396,NA
1949,7,2674120000000.00,-2670000000000.00,-0.935528192,-0.982524187,-0.974741411,-0.035575342,-0.814704609,NA
1949,8,5163410000000.00,-5160000000000.00,-0.460879192,-0.419524231,-0.41953394,0.635427763,-0.709776701,NA
1949,9,105738000000.00,-106000000000.00,0.746439107,0.153996142,0.136425608,0.781806719,-0.688141528,NA
1949,10,618261.46,-618227.86,0.58258866,0.561984274,0.509365238,0.81620957,-0.698860704,NA
1949,11,17281.82,-17276.72,0.710638469,0.872891868,0.695510162,0.794739551,-0.703818082,NA
1949,12,0.00,38.20,0.546027309,0.722603078,0.809229568,0.816122329,-0.667598964,NA
1950,1,0.00,50.60,0.484835982,0.698826428,0.862400589,0.805827428,-0.657787004,NA
1950,2,0.00,17.00,0.452451694,0.520824088,0.915590677,0.805849598,-0.657694701,NA
1950,3,0.01,18.19,0.430438892,0.484947785,0.716080313,0.805849614,-0.657694373,NA
1950,4,9055.28,-9004.48,-2.445567709,0.452414034,0.698755765,0.805849641,-0.657694372,NA
1950,5,1833686.82,-1833642.52,0.056176564,0.254389447,0.520927015,0.805856926,-0.657673332,NA
1950,6,236927000000.00,-237000000000.00,-2.345221747,-2.342941995,-0.801409499,0.807261635,-0.652159062,NA
1950,7,958859000000.00,-959000000000.00,-0.377971108,-0.484836023,-0.475798498,0.913106817,0.535881397,NA
1950,8,1931700000000.00,-1930000000000.00,0.058130049,0.081500135,0.081512737,1.110774381,1.07092043,NA
1950,9,28565826500.00,-28565826481.00,0.776047431,0.577535816,0.554212023,1.049623487,1.104940172,NA
1950,10,7132263352.00,-7132263344.00,0.581160401,0.781533247,0.767233382,1.110773896,1.138995027,NA
1950,11,17.66,43.14,0.71063848,0.880218693,0.975520557,1.085185897,1.142362905,NA
1950,12,0.01,52.79,0.546027309,0.721765158,1.098380414,1.091671345,1.152427748,-0.6484361
1951,1,0.00,36.90,0.484835982,0.698826435,1.081636364,1.07384519,1.13519015,-0.638703671
1951,2,0.00,37.00,0.452451827,0.520824088,0.921645814,1.073781954,1.135165318,-0.638640601
1951,3,0.00,26.90,0.430745445,0.484947785,0.715311633,1.07378161,1.135165145,-0.638640382
1951,4,33.01,24.19,0.008711068,0.452474288,0.698755776,1.073781609,1.135165159,-0.638640382
1951,5,1369436.11,-1369400.91,0.138888537,0.305839018,0.520928378,1.073779125,1.135169664,-0.63863799
1951,6,1429257164.00,-1429257112.00,0.075114523,0.077944583,0.493967094,1.087250373,1.141716284,-0.63869693
1951,7,15819800000000.00,-15800000000000.00,-1.858089985,-1.851911587,-1.846789975,0.419423894,0.847866615,-0.218626458
1951,8,6415020000000.00,-6420000000000.00,-0.589399421,-1.0397495,-1.039749392,0.300625997,0.842828521,-0.112749849
1951,9,151885000000.00,-152000000000.00,0.729150827,-0.509498397,-0.508295081,0.274166724,0.791253381,-0.099218045
1951,10,4636910.28,-4636868.18,0.582587855,0.488488267,0.027689094,0.277326038,0.808085911,-0.112225344
1951,11,0.07,34.63,0.71063848,0.86809759,0.17942165,0.26181697,0.807100862,-0.110001648
1951,12,0.00,125.40,0.546027309,0.722602607,0.265670211,0.298297763,0.833305076,-0.087486755
1952,1,0.00,37.90,0.484835982,0.698826435,0.788280655,0.297576856,0.825098753,-0.080504223
1952,2,0.00,25.70,0.452451752,0.520824088,0.911622702,0.297697549,0.825125116,-0.080437392
1952,3,0.00,60.50,0.431930201,0.484947786,0.716079881,0.297697984,0.825125151,-0.080437164
1952,4,121.04,-89.24,-0.601773596,0.452473682,0.698755776,0.297697983,0.825125151,-0.080437163
1952,5,13721200.37,-13721172.17,-0.830146848,-0.4465441,0.520892812,0.297696851,0.82512431,-0.080416442
1952,6,280054000000.00,-280000000000.00,-2.411239334,-2.409042807,-0.889599664,0.289658217,0.82392035,-0.075241193
1952,7,4241570000000.00,-4240000000000.00,-1.189466715,-1.216242839,-1.209167763,0.681351959,0.75401344,0.877998063
1952,8,1051680000000.00,-1050000000000.00,0.297939876,-0.205281854,-0.205275711,0.960165684,0.791138119,1.230360917
1952,9,384768000000.00,-385000000000.00,0.646263573,0.322704912,0.301534648,0.892905819,0.738219519,1.211500137
1952,10,4427988854.00,-4427988854.00,0.581701672,0.822077276,0.616043172,0.937184161,0.752756349,1.264790872
1952,11,360.47,-336.77,0.71063848,0.843855058,0.810825708,0.914134312,0.751218138,1.263997698
1952,12,0.00,32.50,0.546027309,0.722082793,0.929238222,0.930069281,0.779474173,1.296146195
1953,1,0.00,48.70,0.484835982,0.698826435,1.121801347,0.91691838,0.772540406,1.27718082
1953,2,0.00,21.80,0.452451726,0.520824088,0.89148856,0.916908577,0.772573704,1.277152637
1953,3,0.00,40.80,0.43123527,0.484947786,0.71560303,0.916908458,0.772573768,1.277152517
1953,4,7.74,31.26,0.078128581,0.452474326,0.698755776,0.916908457,0.772573767,1.277152525
1953,5,8606.52,-8560.42,0.464429679,0.479239811,0.520932296,0.916907132,0.77257315,1.277155036
1953,6,90130416796.00,-90130416770.00,-1.936414582,-1.93368821,-0.312939764,0.926087326,0.770584512,1.27946912
1953,7,10094700000000.00,-10100000000000.00,-1.641304194,-1.638910464,-1.633150136,0.657613034,0.88092615,1.152376482
1953,8,750065000000.00,-750000000000.00,0.400545646,-0.599281352,-0.599278562,0.686387047,1.038288276,1.2480976
1953,9,675983000000.00,-676000000000.00,0.551585951,-0.062803653,-0.066296494,0.635232416,0.957175295,1.166536562
1953,10,9200942427.00,-9200942415.00,0.580746607,0.822520329,0.368852186,0.658121234,0.982177111,1.215176933
1953,11,14713.49,-14686.49,0.710638471,0.814534322,0.544363303,0.638546475,0.983239851,1.214598363
1953,12,0.00,25.90,0.546027309,0.721522256,0.644167321,0.665811158,1.001835028,1.246647542
1954,1,0.00,16.80,0.484835982,0.698826429,1.122239754,0.658817446,0.989203767,1.22933625
1954,2,2.49,7.41,0.45245163,0.520824088,0.866983246,0.65887554,0.98920539,1.229315231
1954,3,0.01,60.49,0.431929792,0.484947785,0.71508879,0.658875708,0.989205325,1.229315137
1954,4,250.54,-232.84,-0.942089182,0.452472605,0.69875577,0.658875707,0.989205324,1.229315137
1954,5,145937985.50,-145937959.20,-1.972431187,-1.654325083,0.520512214,0.658868412,0.989201895,1.229312807
1954,6,5152436137.00,-5152436107.00,-0.473547209,-0.483951622,0.429125462,0.66182285,0.994871621,1.232107242
1954,7,88040800000000.00,-88000000000000.00,-2.581922308,-2.577588967,-2.574374549,-0.761265701,-0.150065987,0.370819386
1954,8,7962540000000.00,-7960000000000.00,-0.719438933,-1.880617335,-1.880618849,-0.799868245,-0.203283381,0.340712906
1954,9,2295140000000.00,-2300000000000.00,0.147732848,-1.548540041,-1.547802773,-0.811906668,-0.213140651,0.316645993
1954,10,4612058076.00,-4612058059.00,0.581664818,0.307308997,-0.968357528,-0.828437814,-0.221713148,0.313617137
1954,11,372429.40,-372403.50,0.710638244,0.669908104,-0.880496767,-0.834139502,-0.227365787,0.315429694
1954,12,0.00,29.10,0.546027309,0.722061126,-0.829718086,-0.799830314,-0.185826701,0.342561784
1955,1,0.00,40.20,0.484835982,0.698826287,0.603804879,-0.792290952,-0.178490728,0.344931497
1955,2,0.00,28.00,0.452451767,0.520824088,0.743764417,-0.792135791,-0.178395446,0.344987666
1955,3,0.00,50.60,0.431580909,0.484947786,0.715583153,-0.792135189,-0.178395118,0.344987854
1955,4,6.09,-1.09,-0.190836169,0.452474218,0.698755628,-0.792135189,-0.178395118,0.344987854
1955,5,9449320.58,-9449278.68,-0.63859167,-0.271272495,0.520905112,-0.792134036,-0.178396013,0.344987135
1955,6,427326398.10,-427326346.40,0.353566184,0.352660233,0.511657591,-0.792007977,-0.177880754,0.344764676
1955,7,16507900000000.00,-16500000000000.00,-1.877997559,-1.87184362,-1.866780242,0.15174467,-0.268554578,0.310739331
1955,8,10088400000000.00,-10100000000000.00,-0.862690968,-1.149756952,-1.149757376,0.124026629,-0.333460336,0.296846909
1955,9,21769600000000.00,-21800000000000.00,-1.270709426,-1.062890473,-1.061883711,-0.265886599,-0.458104527,0.161994041
1955,10,11148141273.00,-11148141249.00,0.580357318,-0.332028021,-0.472227681,-0.278609787,-0.468361052,0.154301797
1955,11,66.01,-1.21,0.71063848,-0.233300972,-0.353419466,-0.288866124,-0.473808031,0.156312793
1955,12,0.00,37.70,0.546027309,0.721293687,-0.28399887,-0.249156923,-0.434321578,0.181879648
1956,1,0.00,66.40,0.484835983,0.698826435,-0.069221036,-0.24414186,-0.425395511,0.186258884
1956,2,0.00,59.70,0.452451978,0.520824088,-0.097709353,-0.24398078,-0.425299613,0.186320644
1956,3,0.00,15.30,0.430336967,0.484947786,0.714879091,-0.243980166,-0.425299276,0.186320853
1956,4,35.59,35.71,0.126093113,0.452474439,0.698755776,-0.243980166,-0.425299276,0.186320853
1956,5,1329640.48,-1329609.48,0.146482023,0.310343559,0.520928492,-0.243980241,-0.425299205,0.18632025
1956,6,173415000000.00,-173000000000.00,-2.218481064,-2.216068632,-0.638113078,-0.246697762,-0.42642891,0.186722256
1956,7,3065660000000.00,-3070000000000.00,-1.011304591,-1.033495574,-1.025863375,-0.042802067,0.246137288,0.164302959
1956,8,7147850000000.00,-7150000000000.00,-0.654314217,-0.567824365,-0.567821371,0.047553382,0.265444328,0.13715535
1956,9,443243000000.00,-443000000000.00,0.626504763,-0.014953314,-0.023403201,0.666875839,0.275473053,0.135163794
1956,10,85034148346.00,-85034148331.00,0.565731222,0.430122607,0.396328069,0.688946861,0.273844831,0.126403137
1956,11,18.34,3.16,0.71063848,0.829954559,0.573862271,0.669015056,0.269120123,0.128443206
1956,12,0.00,48.90,0.546027309,0.712666451,0.678182471,0.695236043,0.308807457,0.153714977
1957,1,0.00,71.90,0.484835983,0.698826435,0.729133778,0.687634199,0.310636228,0.158410126
1957,2,0.00,33.50,0.452451804,0.520824088,0.879891736,0.687685781,0.310713152,0.158472661
1957,3,0.13,54.07,0.431703347,0.484947787,0.706960201,0.687685922,0.310713397,0.158472873
