crn,primary_coef,primary_significant,secondary_coef,secondary_significant,primary_coef_1,primary_significant_1,secondary_coef_1,secondary_significant_1,primary_coef_2,primary_significant_2,secondary_coef_2,secondary_significant_2
HSUs,0.034244737,FALSE,0.010093192,FALSE,0.109159423,FALSE,-0.049535475,FALSE,0.255490353,FALSE,-0.112528666,FALSE
HSUs,0.027624027,FALSE,-0.051731253,FALSE,0.196150984,FALSE,-0.118580325,FALSE,0.2926881,TRUE,-0.160108925,FALSE
HSUs,0.167237688,FALSE,-0.047924643,FALSE,0.280996241,TRUE,-0.091779198,FALSE,0.376216167,TRUE,-0.14824921,FALSE
HSUs,0.187610941,FALSE,-0.165032519,FALSE,0.308660033,TRUE,-0.136983362,FALSE,0.41031387,TRUE,-0.004916045,FALSE
HSUs,0.19204133,FALSE,0.062976638,FALSE,0.280410061,TRUE,-0.061657073,FALSE,0.462777228,TRUE,0.092906324,FALSE
HSUs,0.270059724,TRUE,-0.168484592,FALSE,0.26317349,TRUE,-0.07301157,FALSE,0.449050183,TRUE,0.064007442,FALSE
HSUs,0.0951067,FALSE,-0.084996083,FALSE,0.281488453,TRUE,0.016498015,FALSE,0.455644455,TRUE,0.056426682,FALSE
HSUs,0.147650525,FALSE,-0.016865564,FALSE,0.39982899,TRUE,0.038535677,FALSE,0.448907584,TRUE,0.028995607,FALSE
HSUs,0.250187726,TRUE,0.072011289,FALSE,0.409774893,TRUE,0.087548465,FALSE,0.412786681,TRUE,0.029125884,FALSE
HSUs,0.341202773,TRUE,0.042661331,FALSE,0.443207973,TRUE,0.037422245,FALSE,0.310974317,TRUE,0.010512396,FALSE
HSUs,0.121914553,FALSE,0.030919885,FALSE,0.233590924,FALSE,0.039924681,FALSE,0.163255094,FALSE,-0.015722208,FALSE
HSUs,0.220869177,FALSE,0.073479742,FALSE,0.155493136,FALSE,0.037330965,FALSE,0.11956428,FALSE,-0.023828681,FALSE
HSUs,0.109167422,FALSE,0.086152442,FALSE,0.07552175,FALSE,0.004839233,FALSE,0.103362807,FALSE,-0.067803182,FALSE
HSUs,-0.01583171,FALSE,-0.032136244,FALSE,0.036576423,FALSE,-0.053191951,FALSE,0.011023984,FALSE,-0.087174442,FALSE
LCUr,-0.105011291,FALSE,-0.05326305,FALSE,-0.026917687,FALSE,-0.036019542,FALSE,-0.132434144,FALSE,0.008207728,FALSE
