year,month,tmax,tmin,prec
1947.00,1.00,27.52,-3.45,19.10
1947.00,2.00,35.14,5.82,59.50
1947.00,3.00,39.57,10.43,46.40
1947.00,4.00,47.50,20.93,46.90
1947.00,5.00,62.58,29.39,62.50
1947.00,6.00,66.13,31.90,63.60
1947.00,7.00,79.23,38.06,37.40
1947.00,8.00,76.77,39.74,46.90
1947.00,9.00,72.87,31.40,49.80
1947.00,10.00,59.67,25.40,53.40
1947.00,11.00,35.90,12.70,21.50
1947.00,12.00,28.61,2.19,18.60
1948.00,1.00,29.07,2.17,33.10
1948.00,2.00,33.59,1.14,30.50
1948.00,3.00,36.55,4.65,41.40
1948.00,4.00,51.00,20.57,33.40
1948.00,5.00,64.35,26.71,12.70
1948.00,6.00,72.17,33.20,35.80
1948.00,7.00,79.13,37.73,21.20
1948.00,8.00,76.58,34.71,32.80
1948.00,9.00,74.03,29.57,23.60
1948.00,10.00,57.47,19.00,13.40
1948.00,11.00,33.68,9.50,44.50
1948.00,12.00,28.39,2.32,80.60
1949.00,1.00,23.81,-10.48,24.40
1949.00,2.00,31.46,-4.61,11.10
1949.00,3.00,42.33,12.40,55.50
1949.00,4.00,53.87,19.00,25.20
1949.00,5.00,60.35,27.48,56.60
1949.00,6.00,69.80,32.23,40.90
1949.00,7.00,73.00,36.48,69.00
1949.00,8.00,74.06,33.97,28.30
1949.00,9.00,68.70,27.37,33.60
1949.00,10.00,54.06,19.68,33.60
1949.00,11.00,50.47,17.20,5.10
1949.00,12.00,32.26,3.55,38.20
1950.00,1.00,30.25,3.00,50.60
1950.00,2.00,36.57,3.39,17.00
1950.00,3.00,37.19,11.32,18.20
1950.00,4.00,49.53,18.83,50.80
1950.00,5.00,54.97,23.59,44.30
1950.00,6.00,69.57,28.53,21.20
1950.00,7.00,71.52,34.13,49.30
1950.00,8.00,72.62,29.79,19.80
1950.00,9.00,66.92,29.15,18.70
1950.00,10.00,65.20,22.47,7.10
1950.00,11.00,43.97,16.40,60.80
1950.00,12.00,37.57,8.10,52.80
1951.00,1.00,29.39,3.71,36.90
1951.00,2.00,33.36,3.54,37.00
1951.00,3.00,36.03,7.55,26.90
1951.00,4.00,44.27,16.07,57.20
1951.00,5.00,54.65,25.68,35.20
1951.00,6.00,62.80,29.40,52.30
1951.00,7.00,75.65,32.45,42.60
1951.00,8.00,74.39,36.19,63.90
1951.00,9.00,69.20,26.97,22.90
1951.00,10.00,56.29,23.52,42.10
1951.00,11.00,39.33,9.03,34.70
1951.00,12.00,28.77,2.39,125.40
1952.00,1.00,26.76,-4.67,37.90
1952.00,2.00,30.24,-0.03,25.70
1952.00,3.00,32.39,1.23,60.50
1952.00,4.00,45.43,15.10,31.80
1952.00,5.00,57.23,27.16,28.20
1952.00,6.00,69.80,30.33,36.70
1952.00,7.00,73.68,34.16,67.60
1952.00,8.00,71.74,35.94,79.20
1952.00,9.00,70.50,28.97,28.80
1952.00,10.00,64.58,20.00,0.00
1952.00,11.00,46.70,11.89,23.70
1952.00,12.00,29.20,0.67,32.50
1953.00,1.00,31.48,2.97,48.70
1953.00,2.00,33.32,4.79,21.80
1953.00,3.00,36.39,4.23,40.80
1953.00,4.00,43.00,14.63,39.00
1953.00,5.00,49.37,21.44,46.10
1953.00,6.00,68.23,31.10,25.50
1953.00,7.00,74.97,34.13,106.90
1953.00,8.00,71.26,36.65,100.00
1953.00,9.00,71.30,29.20,6.10
1953.00,10.00,65.53,21.57,11.80
1953.00,11.00,50.30,15.43,27.00
1953.00,12.00,32.37,8.30,25.90
1954.00,1.00,34.12,-0.85,16.80
1954.00,2.00,42.28,7.52,9.90
1954.00,3.00,37.81,5.13,60.50
1954.00,4.00,46.10,17.73,17.70
1954.00,5.00,60.00,25.74,26.30
1954.00,6.00,64.43,26.03,29.50
1954.00,7.00,78.29,38.06,71.80
1954.00,8.00,74.71,37.48,71.20
1954.00,9.00,73.07,32.27,63.40
1954.00,10.00,64.63,27.53,17.00
1954.00,11.00,53.67,16.17,25.90
1954.00,12.00,37.13,5.77,29.10
1955.00,1.00,36.00,5.06,40.20
