"","id","varname","month","coef","significant","ci_lower","ci_upper"
"DD_18.curr.apr",12,"DD_18","APR",-0.438,TRUE,-0.557,-0.303
"PPT.curr.jul1",15,"PPT","JUL",-0.427,TRUE,-0.561,-0.278
"DD_0.curr.apr",8,"DD_0","APR",-0.413,TRUE,-0.555,-0.266
"PAS.curr.jul1",15,"PAS","JUL",-0.407,TRUE,-0.547,-0.25
"DD_18.curr.jul1",15,"DD_18","JUL",-0.387,TRUE,-0.518,-0.219
"DD_18.curr.mar",11,"DD_18","MAR",-0.384,TRUE,-0.516,-0.233
"PPT.prev.dec1",8,"PPT","Dec",-0.383,TRUE,-0.535,-0.217
"PAS.curr.jan",9,"PAS","JAN",-0.38,TRUE,-0.547,-0.208
"DD_0.curr.mar",7,"DD_0","MAR",-0.37,TRUE,-0.507,-0.223
"DD_18.curr.apr1",12,"DD_18","APR",-0.367,TRUE,-0.505,-0.224
"PPT.prev.dec",8,"PPT","Dec",-0.364,TRUE,-0.511,-0.199
"DD_0.curr.apr1",8,"DD_0","APR",-0.35,TRUE,-0.492,-0.185
"PPT.prev.dec2",8,"PPT","Dec",-0.345,TRUE,-0.513,-0.188
"PAS.curr.apr1",12,"PAS","APR",-0.34,TRUE,-0.491,-0.177
"PAS.curr.mar",11,"PAS","MAR",-0.335,TRUE,-0.5,-0.164
"DD_18.curr.jul",15,"DD_18","JUL",-0.334,TRUE,-0.471,-0.183
"DD_18.curr.jul2",15,"DD_18","JUL",-0.322,TRUE,-0.477,-0.16
"PAS.curr.jan2",9,"PAS","JAN",-0.311,TRUE,-0.465,-0.147
"DD_18.curr.apr2",12,"DD_18","APR",-0.306,TRUE,-0.458,-0.14
"DD_18.curr.feb1",10,"DD_18","FEB",-0.299,TRUE,-0.464,-0.12
"DD_0.curr.may",9,"DD_0","MAY",-0.296,TRUE,-0.443,-0.11
"DD_0.curr.apr2",8,"DD_0","APR",-0.295,TRUE,-0.439,-0.134
"DD_18.curr.jan1",9,"DD_18","JAN",-0.294,TRUE,-0.431,-0.158
"DD_0.curr.jan1",5,"DD_0","JAN",-0.293,TRUE,-0.424,-0.151
"PAS.curr.apr",12,"PAS","APR",-0.292,TRUE,-0.464,-0.095
"DD_18.curr.may",13,"DD_18","MAY",-0.287,TRUE,-0.449,-0.106
"DD_0.curr.feb1",6,"DD_0","FEB",-0.284,TRUE,-0.458,-0.11
"DD_18.prev.dec",8,"DD_18","Dec",-0.282,TRUE,-0.444,-0.12
"PPT.curr.jul",15,"PPT","JUL",-0.279,TRUE,-0.445,-0.099
"DD_18.curr.feb",10,"DD_18","FEB",-0.279,TRUE,-0.436,-0.112
"Tave.curr.jul2",15,"Tave","JUL",0.316,TRUE,0.13,0.471
"DD5.prev.dec",8,"DD5","Dec",0.319,TRUE,0.177,0.45
"Tmax.curr.jan1",9,"Tmax","JAN",0.319,TRUE,0.183,0.446
"Tmin.curr.mar",11,"Tmin","MAR",0.324,TRUE,0.146,0.478
"Tmin.curr.jul",15,"Tmin","JUL",0.328,TRUE,0.199,0.453
"DD5.curr.jul2",15,"DD5","JUL",0.33,TRUE,0.141,0.468
"NFFD.curr.jul",15,"NFFD","JUL",0.335,TRUE,0.203,0.466
"NFFD.curr.jul1",15,"NFFD","JUL",0.339,TRUE,0.224,0.464
"DD5.curr.apr1",12,"DD5","APR",0.34,TRUE,0.201,0.459
"Tave.curr.jul",15,"Tave","JUL",0.342,TRUE,0.188,0.483
"DD5.curr.jul",15,"DD5","JUL",0.343,TRUE,0.188,0.474
"NFFD.curr.may",13,"NFFD","MAY",0.347,TRUE,0.154,0.52
"DD5.curr.mar",11,"DD5","MAR",0.348,TRUE,0.223,0.47
"Eref.curr.mar",1,"Eref","MAR",0.35,TRUE,0.199,0.494
"Tmin.curr.may",13,"Tmin","MAY",0.352,TRUE,0.145,0.537
"Tmax.curr.jul1",15,"Tmax","JUL",0.353,TRUE,0.191,0.496
"Eref.curr.apr",2,"Eref","APR",0.359,TRUE,0.221,0.5
"NFFD.curr.mar",11,"NFFD","MAR",0.364,TRUE,0.194,0.499
"Tave.curr.apr1",12,"Tave","APR",0.367,TRUE,0.211,0.494
"Tmax.curr.mar",11,"Tmax","MAR",0.37,TRUE,0.228,0.509
"Tmax.curr.apr1",12,"Tmax","APR",0.375,TRUE,0.203,0.511
"Tave.curr.jul1",15,"Tave","JUL",0.383,TRUE,0.218,0.526
"Tave.curr.mar",11,"Tave","MAR",0.384,TRUE,0.231,0.519
"DD5.curr.jul1",15,"DD5","JUL",0.384,TRUE,0.213,0.514
"Tmax.curr.apr",12,"Tmax","APR",0.388,TRUE,0.245,0.532
"DD5.curr.apr",12,"DD5","APR",0.393,TRUE,0.284,0.495
"CMD.curr.jul1",3,"CMD","JUL",0.403,TRUE,0.269,0.539
"NFFD.curr.apr",12,"NFFD","APR",0.426,TRUE,0.292,0.545
"Tmin.curr.apr",12,"Tmin","APR",0.434,TRUE,0.296,0.554
"Tave.curr.apr",12,"Tave","APR",0.437,TRUE,0.305,0.552
