tree,n_missing_total,n_missing_1980_on,n_outliers_total
FBU01A_raw,70,0,1
FBU01B_raw,87,0,3
FBU02A_raw,151,0,0
FBU03B_raw,64,0,0
FBU04A_raw,104,0,1
FBU04B_raw,64,0,2
FBU05A_raw,76,0,0
FBU05B_raw,78,0,0
FBU06A_raw,96,0,1
FBU06B_raw,68,0,1
FBU07A_raw,11,0,1
FBU08A_raw,55,0,2
FBU09A_raw,84,0,2
FBU09B_raw,88,0,1
FBU10B_raw,32,0,1
FBU12A_raw,151,0,1
FBU12B_raw,139,0,0
FBU13A_raw,10,0,5
FBU13B_raw,36,0,3
FBU14A_raw,87,0,0
FBU14B_raw,148,0,0
FBU15A_raw,20,0,7
FBU15B_raw,44,0,2
FBU16B_raw,89,0,1
FBU17A_raw,0,0,2
FBU17B_raw,75,0,0
FBU19A_raw,39,0,3
FBU19B_raw,12,0,1
FBU20A_raw,19,0,1
FBU20B_raw,56,0,1
FBU22A_raw,11,0,4
FBU22B_raw,25,0,6
