age_CE,TWD40_raw,TWD41_raw,TWD42_raw,TWD46_raw,TWD47_raw,TWD50_raw,TWD51_raw,TWD40_raw_outlier_flag,TWD41_raw_outlier_flag,TWD42_raw_outlier_flag,TWD46_raw_outlier_flag,TWD47_raw_outlier_flag,TWD50_raw_outlier_flag,TWD51_raw_outlier_flag
1828,NA,NA,NA,NA,4.312,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
1829,NA,NA,NA,NA,2.401,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
1830,NA,NA,NA,NA,1.275,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
1831,NA,NA,NA,NA,2.039,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
1832,NA,NA,NA,NA,1.523,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
1833,NA,NA,NA,NA,1.759,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
1834,NA,NA,NA,3.121,2.096,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA
1835,NA,NA,NA,4.37,3.409,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1836,NA,NA,NA,2.867,2.417,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1837,NA,NA,NA,2.107,2.471,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1838,NA,NA,NA,1.144,1.43,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1839,NA,NA,NA,0.839,0.96,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1840,NA,NA,NA,1.213,1.898,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1841,NA,NA,NA,1.274,2.028,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1842,NA,NA,NA,0.593,1.746,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1843,NA,2.088,NA,0.831,0.923,NA,NA,NA,TRUE,NA,FALSE,FALSE,NA,NA
1844,NA,2.05,NA,2.181,1.824,NA,NA,NA,TRUE,NA,FALSE,FALSE,NA,NA
