age_CE,234075_raw,234094_raw,234102_raw,234116_raw,234123_raw,234141_raw,234146_raw,234188_raw,234075_raw_outlier_flag,234094_raw_outlier_flag,234102_raw_outlier_flag,234116_raw_outlier_flag,234123_raw_outlier_flag,234141_raw_outlier_flag,234146_raw_outlier_flag,234188_raw_outlier_flag
1691,NA,0.59,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1692,NA,0.73,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1693,NA,0.67,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1694,NA,0.59,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1695,NA,0.66,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1696,NA,0.39,NA,NA,NA,NA,0.14,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA
1697,NA,0.66,NA,NA,NA,NA,0.15,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA
1698,NA,0.54,NA,NA,NA,NA,0.33,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA
1699,NA,0.64,NA,NA,NA,NA,0.48,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA
1700,NA,0.48,NA,NA,NA,NA,0.51,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA
1701,NA,0.55,NA,NA,NA,0.54,0.62,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,NA
1702,NA,0.6,NA,NA,NA,0.53,0.67,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,NA
1703,NA,0.37,NA,NA,1.06,0.68,0.72,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA
1704,NA,0.59,NA,NA,1,0.62,0.58,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA
1705,NA,0.71,NA,NA,0.98,0.85,0.56,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA
1706,NA,0.69,NA,NA,1.12,1.06,0.52,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA
1707,NA,0.47,NA,NA,0.83,0.75,0.36,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA
