tree,n_missing_total,n_missing_1980_on,n_outliers_total
FBU01A_raw,75,5,1
FBU01B_raw,92,5,3
FBU02A_raw,156,5,0
FBU03B_raw,69,5,0
FBU04A_raw,109,5,1
FBU04B_raw,69,5,2
FBU05A_raw,81,5,0
FBU05B_raw,83,5,0
FBU06A_raw,101,5,1
FBU06B_raw,73,5,1
FBU07A_raw,16,5,1
FBU08A_raw,60,5,2
FBU09A_raw,89,5,2
FBU09B_raw,93,5,1
FBU10B_raw,37,5,1
FBU12A_raw,156,5,1
FBU12B_raw,144,5,0
FBU13A_raw,15,5,5
FBU13B_raw,41,5,3
FBU14A_raw,92,5,0
FBU14B_raw,153,5,0
FBU15A_raw,25,5,7
FBU15B_raw,49,5,2
FBU16B_raw,94,5,1
FBU17A_raw,5,5,2
FBU17B_raw,80,5,0
FBU19A_raw,44,5,3
FBU19B_raw,17,5,1
FBU20A_raw,24,5,1
FBU20B_raw,61,5,1
FBU22A_raw,16,5,4
FBU22B_raw,30,5,6
