id1,id2,lat,lon,elev,DD5,DD1040,NFFD,FFP,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12
1,1,32.7,-109.92,3025,1327,504,167,92,37,73,95,4,2,24,275,229,93,2,48,50
2,2,32.72,-109.92,3020,1226,444,161,85,38,70,99,4,2,26,261,234,91,2,53,52
3,3,36.85,-112.02,1800,2796,1572,238,162,38,47,32,13,7,3,40,99,34,4,51,68
4,4,35.23,-111.57,2000,2105,1049,165,94,58,51,44,14,5,4,76,133,19,2,32,68
5,5,35.064,-113.876,1893,2533,1310,231,139,19,32,69,9,4,2,93,118,42,3,25,71
6,6,32.377,-110.685,1877,3169,1731,278,187,43,67,95,4,2,9,183,179,76,1,45,32
7,7,32.377,-110.685,1877,3169,1731,278,187,43,67,95,4,2,9,183,179,76,1,45,32
8,8,33.8,-109.32,2438,1632,723,140,62,46,74,74,12,2,1,77,132,51,2,24,65
9,9,33.8,-109.32,2438,1632,723,140,62,46,74,74,12,2,1,77,132,51,2,24,65
10,10,32.627,-110.298,2074,2769,1445,250,157,28,53,74,2,2,10,127,129,45,1,28,22
11,11,31.726,-110.84,2278,2749,1389,269,185,42,68,85,5,2,23,272,233,122,6,42,46
12,12,31.723,-110.839,2385,2593,1277,260,176,43,71,89,6,2,25,283,240,129,6,44,47
13,13,35.27,-111.75,2260,1551,688,126,54,80,67,56,18,6,3,78,163,19,1,33,84
14,14,32.622,-109.819,2667,1875,850,196,109,26,59,92,3,2,22,190,184,71,2,37,37
15,15,32.586,-110.283,2252,2492,1252,235,145,27,48,82,2,2,10,128,133,46,1,29,23
16,16,35.09,-113.9,2300,1945,919,195,107,19,41,76,10,5,4,98,125,46,3,28,78
17,17,32,-109.33,1828,3239,1771,254,161,11,36,72,2,1,27,128,151,30,4,11,29
18,18,32,-109.33,1828,3239,1771,254,161,11,36,72,2,1,27,128,151,30,4,11,29
19,19,32.12,-110.52,2200,2668,1359,264,173,28,54,74,3,2,12,219,189,78,2,30,28
20,20,32.442,-110.784,2746,1565,623,193,113,60,109,127,5,2,6,237,301,94,2,90,52
21,21,31.461,-110.355,1812,3455,1897,281,191,24,47,65,3,2,21,134,160,54,4,15,46
22,22,36.6833,-110.5333,500,2979,1728,193,126,18,10,10,6,2,0,31,51,26,2,5,23
23,23,33.992,-109.381,2969,983,319,113,34,64,111,118,24,3,2,89,151,52,2,34,95
24,24,35.17,-111.52,2057,1953,941,158,87,67,61,51,17,5,4,75,141,20,2,32,86
25,25,35.17,-111.52,2057,1953,941,158,87,67,61,51,17,5,4,75,141,20,2,32,86
26,26,32.712,-109.922,3014,1300,487,166,90,37,72,97,4,2,25,266,229,92,2,50,50
27,27,32.7,-109.92,2896,1474,594,176,98,36,69,95,3,2,24,259,223,89,2,48,49
28,28,32.41378,-110.714957,2534,1917,844,210,127,48,82,120,5,2,10,231,247,99,1,57,42
29,29,32.41378,-110.714957,2534,1917,844,210,127,48,82,120,5,2,10,231,247,99,1,57,42
30,30,32.433619,-110.790248,2577,1838,792,210,128,58,102,121,5,2,7,230,281,92,2,82,48
31,31,32.433619,-110.790248,2577,1838,792,210,128,58,102,121,5,2,7,230,281,92,2,82,48
32,32,32.41378,-110.714957,2534,1917,844,210,127,48,82,120,5,2,10,231,247,99,1,57,42
33,33,32.41378,-110.714957,2534,1917,844,210,127,48,82,120,5,2,10,231,247,99,1,57,42
34,34,32.41378,-110.714957,2534,1917,844,210,127,48,82,120,5,2,10,231,247,99,1,57,42
35,35,32.433619,-110.790248,2577,1838,792,210,128,58,102,121,5,2,7,230,281,92,2,82,48
36,36,32.433619,-110.790248,2577,1838,792,210,128,58,102,121,5,2,7,230,281,92,2,82,48
37,37,32.433619,-110.790248,2577,1838,792,210,128,58,102,121,5,2,7,230,281,92,2,82,48
38,38,34.88,-111.82,1377,3437,1965,265,175,53,48,49,11,3,4,52,90,22,2,22,58
39,39,35.38,-111.53,2225,1686,774,140,71,54,51,40,14,7,3,74,152,22,2,33,97
40,40,35.23,-111.57,2000,2105,1049,165,94,58,51,44,14,5,4,76,133,19,2,32,68
41,41,35.5,-111.83,2194,1727,794,145,74,64,65,52,16,7,4,75,159,22,2,41,104
42,42,35.32,-111.72,2682,1122,404,115,44,121,101,91,31,11,6,88,176,23,2,49,142
43,43,35.2,-112.2,2157,1855,869,156,83,78,87,69,14,5,5,78,148,23,2,40,105
44,44,36.4,-112.2,2781,1396,586,151,77,106,126,99,30,16,6,76,169,36,5,103,198
45,45,34,-109.3,2845,1099,389,122,43,51,92,95,20,3,3,89,160,57,3,29,84
46,46,36.5,-112.7,1680,3007,1710,243,164,31,42,31,10,6,3,51,104,25,3,51,62
47,47,35.9,-111.8,1937,2225,1132,183,112,42,49,38,12,7,3,49,109,18,2,30,81
48,48,35.1,-112.2,1896,2257,1141,181,106,73,81,64,13,4,4,71,134,23,2,34,92
49,49,34.6,-110.8,2001,2192,1113,173,104,54,49,46,11,2,2,84,130,19,1,25,60
50,50,35.268981,-111.743513,2213,1594,718,128,55,77,63,54,17,6,3,78,159,19,2,32,77
51,51,36.462,-112.406,2125,2089,1048,190,114,57,63,53,17,10,5,62,137,30,4,66,103
52,52,36.437,-112.092,2675,1470,636,158,84,100,119,93,29,16,6,74,170,38,5,99,189
53,53,36.439,-112.226,2650,1503,650,157,82,94,106,90,28,16,6,78,173,36,5,98,169
54,54,36.684,-112.285,2300,1943,951,192,122,65,62,65,21,13,7,75,169,37,4,93,113
55,55,36.768,-112.182,2300,1985,984,196,127,68,67,66,22,12,6,73,167,39,5,93,123
56,56,36.603,-112.156,2500,1704,797,179,111,87,95,81,26,14,6,75,173,39,5,99,160
57,57,36.352,-112.101,2775,1315,529,153,76,122,152,106,30,15,5,72,168,37,5,101,231
58,58,35.054572,-111.604947,2190,1671,760,142,69,110,92,85,24,6,5,74,144,24,2,46,114
59,59,35.054572,-111.604947,2190,1671,760,142,69,110,92,85,24,6,5,74,144,24,2,46,114
60,60,34.741633,-111.5042,2055,1899,902,159,87,102,89,85,19,3,3,67,127,24,2,38,98
61,61,34.741633,-111.5042,2055,1899,902,159,87,102,89,85,19,3,3,67,127,24,2,38,98
62,62,35.3,-120.27,580,3843,2223,327,254,409,231,157,11,2,2,0,2,0,51,69,331
63,63,39.02,-122.82,426,3199,1732,298,185,488,320,77,2,2,3,0,1,28,44,126,145
64,64,37.72,-120.42,274,3993,2355,336,268,221,156,65,6,1,4,1,1,0,29,73,165
65,65,39.52,-121.43,305,3803,2223,338,280,686,351,123,11,14,13,1,1,27,66,163,243
66,66,40.27,-121.85,853,3243,1825,314,228,532,243,125,9,20,7,1,3,37,52,166,150
67,67,38.77,-121.1,183,3803,2199,342,290,387,233,74,8,7,7,1,1,15,45,110,179
68,68,35.52,-118.67,670,3859,2263,320,235,197,176,104,8,2,3,0,3,2,22,82,176
69,69,37.87,-121.95,245,3252,1664,348,298,327,212,102,1,1,2,1,1,23,37,91,205
70,70,37.05,-121,396,3771,2109,349,301,146,100,38,1,1,1,1,0,4,10,23,95
71,71,36.47,-121.18,350,3456,1897,288,184,200,150,91,3,1,1,1,1,4,15,20,166
72,72,38.7,-120,2591,832,243,124,44,710,379,176,37,34,23,4,12,11,118,252,333
73,73,39.52,-120.55,1921,1345,536,173,84,1166,593,219,44,55,30,2,7,31,166,401,531
74,74,39.55,-120.2,2268,1070,373,141,59,575,290,115,28,39,20,2,7,20,91,210,298
75,75,37.75,-118.68,2990,908,291,125,44,240,151,107,19,7,5,7,11,19,43,126,123
76,76,37.63,-121.77,149,3312,1707,342,282,234,160,78,1,1,2,1,1,18,26,52,166
77,77,37.63,-121.77,149,3312,1707,342,282,234,160,78,1,1,2,1,1,18,26,52,166
78,78,37.87,-119.37,2630,668,152,66,28,597,283,134,17,12,6,7,9,2,106,213,235
79,79,37.88,-119.37,2626,687,161,70,28,597,282,134,17,12,6,7,9,2,106,210,237
80,80,37.87,-119.37,2615,668,152,66,28,597,283,134,17,12,6,7,9,2,106,213,235
81,81,37.4,-121.78,475,3207,1613,352,312,311,225,120,2,1,3,0,1,27,37,60,253
82,82,36.49,-120.88,1067,3311,1816,321,233,284,179,121,3,1,1,1,1,2,18,37,194
83,83,36.34,-120.52,1219,3276,1840,310,215,321,178,109,3,2,1,0,1,0,20,48,215
84,84,40.53,-122.03,396,3956,2390,336,274,502,213,102,8,16,5,2,3,31,41,173,122
85,85,39.21,-122.44,468,3782,2222,330,257,413,269,53,1,2,5,1,1,18,29,64,118
86,86,40.28,-122.45,421,4060,2488,336,271,517,288,104,4,8,4,2,2,23,39,153,113
