id1,id2,lat,lon,elev,DD5,DD1040,NFFD,FFP,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12
1,1,32.7,-109.92,3025,1212,407,180,101,159,41,22,27,48,20,196,273,35,136,94,4
2,2,32.72,-109.92,3020,1110,350,174,93,162,39,23,27,45,22,187,282,34,147,103,5
3,3,36.85,-112.02,1800,2791,1494,256,177,72,27,39,37,37,9,25,56,25,89,13,14
4,4,35.23,-111.57,2000,2164,1030,191,116,77,33,48,30,22,18,82,85,52,129,40,9
5,5,35.064,-113.876,1893,2664,1328,261,152,52,22,42,13,17,3,28,19,18,84,12,2
6,6,32.377,-110.685,1877,3132,1646,294,211,150,38,39,18,35,6,119,190,32,58,83,4
7,7,32.377,-110.685,1877,3132,1646,294,211,150,38,39,18,35,6,119,190,32,58,83,4
8,8,33.8,-109.32,2438,1551,604,152,77,103,39,32,61,45,35,70,178,24,116,32,13
9,9,33.8,-109.32,2438,1551,604,152,77,103,39,32,61,45,35,70,178,24,116,32,13
10,10,32.627,-110.298,2074,2713,1343,270,180,96,29,22,14,48,8,87,150,17,83,55,2
11,11,31.726,-110.84,2278,2630,1254,282,201,193,46,40,23,18,9,222,215,86,48,105,11
12,12,31.723,-110.839,2385,2470,1144,273,189,201,48,41,25,18,10,231,222,91,49,109,12
13,13,35.27,-111.75,2260,1571,650,138,61,108,41,63,41,27,15,88,97,59,125,41,11
14,14,32.622,-109.819,2667,1774,734,216,124,133,34,20,23,43,15,137,213,30,108,81,3
15,15,32.586,-110.283,2252,2419,1146,254,163,96,26,23,14,53,7,88,153,18,85,60,2
16,16,35.09,-113.9,2300,2036,915,222,109,52,28,46,15,20,5,29,21,19,95,13,3
17,17,32,-109.33,1828,3153,1660,275,184,110,23,20,14,24,7,100,136,27,50,74,3
18,18,32,-109.33,1828,3153,1660,275,184,110,23,20,14,24,7,100,136,27,50,74,3
19,19,32.12,-110.52,2200,2559,1230,281,193,130,33,25,15,27,5,151,188,44,53,76,4
20,20,32.442,-110.784,2746,1469,535,204,121,193,61,57,25,43,4,157,322,36,83,147,6
21,21,31.461,-110.355,1812,3325,1765,296,212,158,35,20,17,19,6,125,149,54,23,72,10
22,22,36.6833,-110.5333,500,3080,1722,226,152,30,6,11,12,9,3,28,42,12,38,4,4
23,23,33.992,-109.381,2969,857,220,110,36,130,62,58,104,43,53,82,200,24,119,46,19
24,24,35.17,-111.52,2057,2002,919,183,107,86,40,53,37,25,20,81,93,51,136,41,11
25,25,35.17,-111.52,2057,2002,919,183,107,86,40,53,37,25,20,81,93,51,136,41,11
26,26,32.712,-109.922,3014,1186,391,179,99,158,40,23,27,48,21,190,274,35,141,96,4
27,27,32.7,-109.92,2896,1363,491,191,109,157,38,22,26,45,20,185,266,34,136,94,4
28,28,32.41378,-110.714957,2534,1838,762,223,138,162,46,51,22,43,6,151,264,40,67,100,5
29,29,32.41378,-110.714957,2534,1838,762,223,138,162,46,51,22,43,6,151,264,40,67,100,5
30,30,32.433619,-110.790248,2577,1764,713,223,137,185,57,55,23,40,5,153,300,35,77,134,6
31,31,32.433619,-110.790248,2577,1764,713,223,137,185,57,55,23,40,5,153,300,35,77,134,6
32,32,32.41378,-110.714957,2534,1838,762,223,138,162,46,51,22,43,6,151,264,40,67,100,5
33,33,32.41378,-110.714957,2534,1838,762,223,138,162,46,51,22,43,6,151,264,40,67,100,5
34,34,32.41378,-110.714957,2534,1838,762,223,138,162,46,51,22,43,6,151,264,40,67,100,5
35,35,32.433619,-110.790248,2577,1764,713,223,137,185,57,55,23,40,5,153,300,35,77,134,6
36,36,32.433619,-110.790248,2577,1764,713,223,137,185,57,55,23,40,5,153,300,35,77,134,6
37,37,32.433619,-110.790248,2577,1764,713,223,137,185,57,55,23,40,5,153,300,35,77,134,6
38,38,34.88,-111.82,1377,3607,2039,288,216,72,31,47,28,19,13,62,55,42,108,25,6
39,39,35.38,-111.53,2225,1716,741,158,83,76,33,44,30,28,14,76,100,59,124,40,13
40,40,35.23,-111.57,2000,2164,1030,191,116,77,33,48,30,22,18,82,85,52,129,40,9
41,41,35.5,-111.83,2194,1751,757,162,82,98,40,57,34,28,15,76,96,63,134,42,15
42,42,35.32,-111.72,2682,1111,375,121,45,166,63,101,69,49,26,96,107,68,168,59,19
43,43,35.2,-112.2,2157,1897,838,176,95,125,52,73,34,26,15,83,73,61,125,40,12
44,44,36.4,-112.2,2781,1302,497,154,61,208,71,113,77,60,17,50,92,50,166,39,38
45,45,34,-109.3,2845,976,278,123,49,108,52,46,87,46,57,80,211,26,118,40,17
46,46,36.5,-112.7,1680,3000,1636,256,169,67,24,35,29,23,6,30,45,26,74,11,15
47,47,35.9,-111.8,1937,2250,1091,205,122,74,30,41,23,24,12,43,70,41,104,24,13
48,48,35.1,-112.2,1896,2327,1133,205,124,115,49,67,32,21,13,75,66,55,114,33,10
49,49,34.6,-110.8,2001,2240,1082,201,127,54,32,39,26,29,20,82,117,27,131,41,8
50,50,35.268981,-111.743513,2213,1614,676,140,63,104,39,60,39,26,15,88,95,59,125,39,10
51,51,36.462,-112.406,2125,2017,945,200,107,115,35,61,47,38,12,39,68,37,114,20,22
52,52,36.437,-112.092,2675,1397,556,166,75,195,68,106,73,61,18,50,97,50,172,40,36
53,53,36.439,-112.226,2650,1417,555,162,68,183,59,103,73,63,19,50,93,48,158,35,33
54,54,36.684,-112.285,2300,1863,840,203,116,125,34,79,64,59,19,45,85,35,129,23,25
