id1,id2,lat,lon,elev,DD5,DD1040,NFFD,FFP,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12
1,1,32.7,-109.92,3025,1287,465,172,120,9,59,57,3,21,55,95,159,119,3,4,20
2,2,32.72,-109.92,3020,1187,407,166,114,9,56,60,3,20,61,90,164,118,3,4,20
3,3,36.85,-112.02,1800,2773,1560,228,172,20,18,43,38,14,26,28,11,28,14,7,6
4,4,35.23,-111.57,2000,2146,1072,166,101,17,26,41,24,10,29,56,29,51,5,8,4
5,5,35.064,-113.876,1893,2651,1382,230,151,18,8,47,22,8,3,24,16,38,12,11,4
6,6,32.377,-110.685,1877,3218,1771,277,202,10,72,69,4,17,13,72,94,77,2,5,15
7,7,32.377,-110.685,1877,3218,1771,277,202,10,72,69,4,17,13,72,94,77,2,5,15
8,8,33.8,-109.32,2438,1570,664,137,76,19,41,55,10,21,51,35,108,93,3,10,9
9,9,33.8,-109.32,2438,1570,664,137,76,19,41,55,10,21,51,35,108,93,3,10,9
10,10,32.627,-110.298,2074,2793,1455,252,180,5,47,44,2,22,20,46,72,53,2,2,10
11,11,31.726,-110.84,2278,2800,1433,271,201,23,80,74,5,9,23,172,129,100,7,9,14
12,12,31.723,-110.839,2385,2650,1323,263,194,24,84,77,5,9,25,179,133,105,8,9,15
13,13,35.27,-111.75,2260,1595,703,129,56,25,28,52,35,13,24,64,35,54,4,9,4
14,14,32.622,-109.819,2667,1815,794,200,137,8,50,56,3,18,45,65,135,90,2,3,13
15,15,32.586,-110.283,2252,2525,1265,239,170,6,44,49,2,25,20,47,74,53,2,3,10
16,16,35.09,-113.9,2300,2061,979,197,121,18,10,51,24,10,5,26,17,41,13,12,4
17,17,32,-109.33,1828,3133,1688,255,180,15,39,50,2,10,32,44,143,40,3,5,6
18,18,32,-109.33,1828,3133,1688,255,180,15,39,50,2,10,32,44,143,40,3,5,6
19,19,32.12,-110.52,2200,2707,1382,268,194,11,62,52,2,13,14,98,102,70,3,4,10
20,20,32.442,-110.784,2746,1614,646,200,142,13,117,95,5,21,9,94,156,100,4,9,25
21,21,31.461,-110.355,1812,3480,1943,285,209,22,60,45,2,9,23,95,111,37,5,6,10
22,22,36.6833,-110.5333,500,2966,1720,197,141,7,7,15,12,4,6,23,7,15,4,2,1
23,23,33.992,-109.381,2969,913,268,106,40,26,75,92,20,21,74,40,112,88,4,14,12
24,24,35.17,-111.52,2057,1988,960,160,94,19,33,46,27,12,32,54,33,54,5,8,5
25,25,35.17,-111.52,2057,1988,960,160,94,19,33,46,27,12,32,54,33,54,5,8,5
26,26,32.712,-109.922,3014,1260,450,171,119,9,57,58,3,21,57,92,159,118,3,4,20
27,27,32.7,-109.92,2896,1434,554,181,127,9,55,57,3,20,55,89,155,113,3,4,19
28,28,32.41378,-110.714957,2534,1966,872,216,156,11,88,88,5,21,15,91,129,102,3,6,20
29,29,32.41378,-110.714957,2534,1966,872,216,156,11,88,88,5,21,15,91,129,102,3,6,20
30,30,32.433619,-110.790248,2577,1889,820,215,155,13,110,91,5,19,11,91,146,97,3,8,24
31,31,32.433619,-110.790248,2577,1889,820,215,155,13,110,91,5,19,11,91,146,97,3,8,24
32,32,32.41378,-110.714957,2534,1966,872,216,156,11,88,88,5,21,15,91,129,102,3,6,20
33,33,32.41378,-110.714957,2534,1966,872,216,156,11,88,88,5,21,15,91,129,102,3,6,20
34,34,32.41378,-110.714957,2534,1966,872,216,156,11,88,88,5,21,15,91,129,102,3,6,20
35,35,32.433619,-110.790248,2577,1889,820,215,155,13,110,91,5,19,11,91,146,97,3,8,24
36,36,32.433619,-110.790248,2577,1889,820,215,155,13,110,91,5,19,11,91,146,97,3,8,24
37,37,32.433619,-110.790248,2577,1889,820,215,155,13,110,91,5,19,11,91,146,97,3,8,24
38,38,34.88,-111.82,1377,3449,1986,248,177,15,24,40,20,8,19,40,29,54,4,4,4
39,39,35.38,-111.53,2225,1716,782,143,76,17,27,40,25,13,25,54,30,51,5,8,5
40,40,35.23,-111.57,2000,2146,1072,166,101,17,26,41,24,10,29,56,29,51,5,8,4
41,41,35.5,-111.83,2194,1769,807,147,79,23,27,52,34,12,26,59,28,46,6,10,6
42,42,35.32,-111.72,2682,1157,421,117,46,38,44,86,60,23,43,70,36,59,6,13,7
43,43,35.2,-112.2,2157,1903,886,154,85,29,31,65,34,11,22,65,39,53,6,8,6
44,44,36.4,-112.2,2781,1390,571,150,87,56,43,118,89,24,46,49,20,37,16,16,17
45,45,34,-109.3,2845,1028,333,116,50,22,63,75,17,22,80,40,121,94,5,13,10
46,46,36.5,-112.7,1680,2956,1679,229,169,20,15,37,31,9,16,32,20,27,11,6,7
47,47,35.9,-111.8,1937,2255,1155,182,122,18,21,42,27,10,26,36,13,24,6,6,5
48,48,35.1,-112.2,1896,2297,1166,176,108,26,29,59,31,8,19,57,38,53,5,7,5
49,49,34.6,-110.8,2001,2216,1126,177,119,10,37,32,10,15,30,38,40,61,3,7,5
50,50,35.268981,-111.743513,2213,1637,733,131,57,24,26,50,33,12,24,63,34,54,4,8,4
51,51,36.462,-112.406,2125,2076,1032,186,126,32,22,64,52,15,32,40,20,32,14,9,10
52,52,36.437,-112.092,2675,1470,626,158,97,52,43,113,84,24,48,49,19,37,17,16,16
53,53,36.439,-112.226,2650,1497,635,156,94,50,36,108,83,25,50,50,21,37,17,15,15
54,54,36.684,-112.285,2300,1935,932,188,135,36,21,81,68,24,52,49,23,36,18,13,11
55,55,36.768,-112.182,2300,1971,966,192,140,36,24,85,68,24,52,48,21,35,19,13,12
56,56,36.603,-112.156,2500,1699,782,178,124,46,34,102,78,25,52,49,20,37,18,14,14
57,57,36.352,-112.101,2775,1319,522,153,88,63,55,127,86,21,38,48,18,36,16,16,19
58,58,35.054572,-111.604947,2190,1700,769,144,74,30,48,72,41,15,33,55,38,64,6,10,6
59,59,35.054572,-111.604947,2190,1700,769,144,74,30,48,72,41,15,33,55,38,64,6,10,6
60,60,34.741633,-111.5042,2055,1925,917,160,96,23,52,61,27,12,22,46,41,68,5,8,6
61,61,34.741633,-111.5042,2055,1925,917,160,96,23,52,61,27,12,22,46,41,68,5,8,6
62,62,35.3,-120.27,580,3930,2308,312,239,138,127,137,42,4,3,0,1,4,9,22,12
63,63,39.02,-122.82,426,3291,1827,292,190,179,57,182,11,4,1,0,1,1,21,218,94
64,64,37.72,-120.42,274,4042,2442,316,235,84,51,184,11,4,3,0,1,0,2,67,16
65,65,39.52,-121.43,305,3829,2266,326,263,261,74,276,40,15,6,1,1,4,29,303,84
66,66,40.27,-121.85,853,3304,1880,304,224,195,53,185,41,35,11,1,2,7,29,257,82
67,67,38.77,-121.1,183,3755,2200,328,265,150,50,219,25,8,2,1,2,1,14,179,39
68,68,35.52,-118.67,670,3974,2397,300,222,69,70,111,57,8,7,0,1,4,8,20,4
69,69,37.87,-121.95,245,3334,1773,338,283,127,60,201,21,2,1,0,1,1,20,112,35
