id1,id2,lat,lon,elev,DD5,DD1040,NFFD,FFP,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12
1,1,32.7,-109.92,3025,1333,474,174,102,16,19,14,3,28,15,181,185,56,49,5,96
2,2,32.72,-109.92,3020,1226,414,168,94,16,18,14,3,26,16,172,190,56,52,5,100
3,3,36.85,-112.02,1800,2902,1623,233,174,8,35,26,11,23,4,31,66,14,6,2,4
4,4,35.23,-111.57,2000,2373,1213,185,140,14,15,28,3,14,5,77,140,15,7,2,11
5,5,35.064,-113.876,1893,2901,1496,260,168,9,13,28,5,23,1,47,107,11,5,2,15
6,6,32.377,-110.685,1877,3290,1768,283,202,17,34,19,3,26,3,114,154,37,13,2,55
7,7,32.377,-110.685,1877,3290,1768,283,202,17,34,19,3,26,3,114,154,37,13,2,55
8,8,33.8,-109.32,2438,1692,714,142,90,17,28,26,3,15,4,52,123,29,69,0,66
9,9,33.8,-109.32,2438,1692,714,142,90,17,28,26,3,15,4,52,123,29,69,0,66
10,10,32.627,-110.298,2074,2888,1473,257,176,10,19,11,1,30,5,82,108,25,19,1,42
11,11,31.726,-110.84,2278,2779,1352,275,197,20,47,26,5,19,5,206,207,61,46,4,51
12,12,31.723,-110.839,2385,2620,1243,266,188,21,50,27,6,19,5,214,214,64,48,4,53
13,13,35.27,-111.75,2260,1792,814,144,104,18,20,37,4,19,5,83,171,16,7,1,14
14,14,32.622,-109.819,2667,1904,822,204,124,12,15,13,2,26,13,124,147,41,46,5,69
15,15,32.586,-110.283,2252,2605,1272,244,164,10,17,13,1,35,5,82,111,25,21,1,42
16,16,35.09,-113.9,2300,2244,1050,226,138,9,17,31,6,28,3,50,114,12,6,2,16
17,17,32,-109.33,1828,3248,1740,255,183,8,10,13,2,20,14,78,119,21,55,12,40
18,18,32,-109.33,1828,3248,1740,255,183,8,10,13,2,20,14,78,119,21,55,12,40
19,19,32.12,-110.52,2200,2723,1341,271,189,12,28,14,2,24,3,141,159,35,24,3,42
20,20,32.442,-110.784,2746,1603,605,203,128,23,58,27,4,30,2,152,262,46,14,3,89
21,21,31.461,-110.355,1812,3490,1905,285,207,14,26,14,3,20,6,118,139,29,36,5,40
22,22,36.6833,-110.5333,500,3084,1774,203,162,4,4,9,4,7,1,21,42,10,4,0,2
23,23,33.992,-109.381,2969,984,286,108,53,23,46,47,7,14,6,63,143,26,60,0,82
24,24,35.17,-111.52,2057,2203,1090,178,133,16,18,31,4,16,6,76,149,16,7,2,14
25,25,35.17,-111.52,2057,2203,1090,178,133,16,18,31,4,16,6,76,149,16,7,2,14
26,26,32.712,-109.922,3014,1310,462,172,101,16,19,14,3,28,15,176,185,56,50,5,96
27,27,32.7,-109.92,2896,1485,559,183,110,15,18,14,3,26,15,170,180,53,49,5,95
28,28,32.41378,-110.714957,2534,1970,836,220,143,19,42,25,4,31,3,145,213,49,13,2,73
29,29,32.41378,-110.714957,2534,1970,836,220,143,19,42,25,4,31,3,145,213,49,13,2,73
30,30,32.433619,-110.790248,2577,1892,786,219,142,22,54,26,4,28,2,148,244,45,13,3,83
31,31,32.433619,-110.790248,2577,1892,786,219,142,22,54,26,4,28,2,148,244,45,13,3,83
32,32,32.41378,-110.714957,2534,1970,836,220,143,19,42,25,4,31,3,145,213,49,13,2,73
33,33,32.41378,-110.714957,2534,1970,836,220,143,19,42,25,4,31,3,145,213,49,13,2,73
34,34,32.41378,-110.714957,2534,1970,836,220,143,19,42,25,4,31,3,145,213,49,13,2,73
35,35,32.433619,-110.790248,2577,1892,786,219,142,22,54,26,4,28,2,148,244,45,13,3,83
36,36,32.433619,-110.790248,2577,1892,786,219,142,22,54,26,4,28,2,148,244,45,13,3,83
37,37,32.433619,-110.790248,2577,1892,786,219,142,22,54,26,4,28,2,148,244,45,13,3,83
38,38,34.88,-111.82,1377,3822,2251,274,203,12,12,24,3,11,3,63,97,15,5,2,14
39,39,35.38,-111.53,2225,1891,882,157,117,14,15,27,4,18,5,71,156,16,7,2,13
40,40,35.23,-111.57,2000,2373,1213,185,140,14,15,28,3,14,5,77,140,15,7,2,11
41,41,35.5,-111.83,2194,1957,922,162,118,16,21,35,5,19,5,74,159,16,8,2,15
42,42,35.32,-111.72,2682,1318,501,130,89,28,31,60,7,34,9,91,183,18,9,2,22
43,43,35.2,-112.2,2157,2143,1030,178,128,19,25,41,4,19,5,89,155,18,8,2,24
44,44,36.4,-112.2,2781,1479,626,152,101,26,87,72,19,39,6,57,128,17,9,3,15
45,45,34,-109.3,2845,1114,362,119,64,19,38,39,6,15,7,62,148,28,65,0,74
46,46,36.5,-112.7,1680,3127,1763,237,172,9,35,21,7,15,2,39,73,12,6,2,6
47,47,35.9,-111.8,1937,2434,1272,192,145,11,20,26,5,16,4,43,99,11,5,2,8
48,48,35.1,-112.2,1896,2581,1338,203,148,17,23,37,4,15,4,81,141,17,7,2,22
49,49,34.6,-110.8,2001,2423,1239,190,146,11,21,22,2,14,4,67,142,17,7,1,15
50,50,35.268981,-111.743513,2213,1837,844,146,105,17,19,36,4,18,5,83,167,16,7,1,13
51,51,36.462,-112.406,2125,2192,1109,189,133,14,48,38,11,25,4,47,100,15,8,2,8
52,52,36.437,-112.092,2675,1557,680,161,109,24,81,68,19,39,6,56,129,18,10,4,13
53,53,36.439,-112.226,2650,1600,697,158,106,22,76,65,18,41,6,58,129,17,9,3,12
54,54,36.684,-112.285,2300,2023,995,189,139,14,52,50,16,39,6,56,116,16,9,3,7
55,55,36.768,-112.182,2300,2061,1028,193,143,14,55,51,17,38,7,55,112,16,9,3,7
56,56,36.603,-112.156,2500,1781,830,178,129,19,72,61,18,40,6,56,123,17,10,3,10
57,57,36.352,-112.101,2775,1410,576,155,100,30,98,76,18,35,5,55,131,18,10,4,17
58,58,35.054572,-111.604947,2190,1904,876,162,115,25,27,48,6,20,6,80,154,18,8,3,22
59,59,35.054572,-111.604947,2190,1904,876,162,115,25,27,48,6,20,6,80,154,18,8,3,22
60,60,34.741633,-111.5042,2055,2163,1050,182,133,21,28,40,4,15,3,76,139,18,6,3,24
61,61,34.741633,-111.5042,2055,2163,1050,182,133,21,28,40,4,15,3,76,139,18,6,3,24
