age_CE,085011_raw,085012_raw,085021_raw,085022_raw,085031_raw,085032_raw,085041_raw,085042_raw,085051_raw,085052_raw,085011_raw_outlier_flag,085012_raw_outlier_flag,085021_raw_outlier_flag,085022_raw_outlier_flag,085031_raw_outlier_flag,085032_raw_outlier_flag,085041_raw_outlier_flag,085042_raw_outlier_flag,085051_raw_outlier_flag,085052_raw_outlier_flag
1620,NA,NA,2.25,1.47,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA
1621,NA,NA,1.83,1.38,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA
1622,NA,NA,0.84,0.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1623,NA,NA,0.96,0.74,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1624,NA,NA,0.77,0.66,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1625,NA,NA,1.4,1.04,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1626,NA,NA,0.66,0.63,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1627,NA,NA,0.85,1.1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1628,NA,NA,0.82,0.99,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1629,NA,NA,0.76,0.82,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1630,NA,NA,0.9,0.86,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1631,NA,NA,0.37,0.36,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1632,NA,NA,0.48,0.44,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1633,NA,NA,0.85,0.57,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1634,NA,NA,0.81,0.82,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1635,NA,NA,1,1.06,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1636,NA,NA,0.62,0.83,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
