Species,Binomial,Binomial genus,Binomial species,Binomial extra,Common name
ABAM,Abies amabilis,Abies,amabilis,NA,Pacific silver
PICO,Pinus contorta,Pinus,contorta,NA,Lodgepole pine
ABCO,Abies concolor,Abies,concolor,NA,white fir
PIEN,Picea engelmanii,Picea,engelmanii,NA,Engelmnn spruce
ABGR,Abies grandis,Abies,grandis,NA,grand fir
PILA,Pinus lambertiana,Pinus,lambertiana,NA,sugar pine
ABLA,Abies lasiocarpa,Abies,lasiocarpa,NA,subalpine fir
PIMO3,Pinus monticola,Pinus,monticola,NA,w. white pine
ABMA,Abies magnifica,Abies,magnifica,NA,Shasta red fir
PIPO,Pinus ponderosa,Pinus,ponderosa,NA,ponderosa pine
ABPR,Abies procera,Abies,procera,NA,noble fir
PISI,Picea sitchensis,Picea,sitchensis,NA,Sitka spruce
ACGL,Acer glabrum,Acer,glabrum,NA,Rocky Mtn maple
POBAT,Populus balsamifer,Populus,balsamifer,v. trich.,black cottonwood
ACMA3,Acer macrophyllum,Acer,macrophyllum,NA,bigleaf maple
PREM,Prunus emarginata,Prunus,emarginata,NA,bitter cherry
ALRU2,Alnus rubra,Alnus,rubra,NA,red alder
PRUNU,Prunus spp.,Prunus,spp.,NA,cherry 
ALVIS,Alnus viridis,Alnus,viridis,ssp sinuata,Sitka alder
PSME,Pseudotsuga menziesii,Pseudotsuga,menziesii,NA,Douglas‐fir 
ARME,Arbutus menziesii,Arbutus,menziesii,NA,Pacific madrone
QUGA4,Quercus garryana,Quercus,garryana,NA,OR white oak
CHCH7,Chrysolepis chrysophylla,Chrysolepis,chrysophylla,NA,golden chinkapin
QUKE,Quercus kelloggii,Quercus,kelloggii,NA,CA black oak
CADE27,Calocedrus decurrens,Calocedrus,decurrens,NA,incense cedar
TABR2,Taxus brevifolia,Taxus,brevifolia,NA,Pacific yew
CANO9,Callitropsis nootkatensis,Callitropsis,nootkatensis,NA,Alaska yellow cedar
THPL,Thuja plicata,Thuja,plicata,NA,w. redcedar
CONU4,Cornus nuttalli,Cornus,nuttalli,NA,Pacific dogwood
TSHE,Tsuga heterophylla,Tsuga,heterophylla,NA,w. hemlock
FRPU7,Frangula purshiana,Frangula,purshiana,NA,Cascara buckthorn
TSME,Tsuga mertensiana,Tsuga,mertensiana,NA,mtn. hemlock
