"","year","rw_core1 (mm)","rw_core2 (mm)"
"1",1791,0.644,0.567
"2",1792,0.595,0.414
"3",1793,0.642,0.353
"4",1794,0.72,0.46
"5",1795,0.72,0.522
"6",1796,0.579,0.336
"7",1797,0.498,0.427
"8",1798,0.404,0.55
"9",1799,0.516,0.69
"10",1800,0.407,0.431
"11",1801,0.36,0.265
"12",1802,0.485,0.513
"13",1803,0.438,0.498
"14",1804,0.454,0.42
"15",1805,0.439,0.528
"16",1806,0.47,0.525
"17",1807,0.579,0.508
"18",1808,0.376,0.37
"19",1809,0.502,0.449
"20",1810,0.283,0.309
"21",1811,0.441,0.493
"22",1812,0.424,0.478
"23",1813,0.393,0.4
"24",1814,0.487,0.49
"25",1815,0.346,0.306
"26",1816,0.535,0.526
"27",1817,0.582,0.541
"28",1818,0.473,0.373
"29",1819,0.49,0.327
"30",1820,0.363,0.28
"31",1821,0.726,0.469
"32",1822,0.474,0.487
"33",1823,0.426,0.41
"34",1824,0.395,0.379
"35",1825,0.504,0.664
"36",1826,0.533,0.443
"37",1827,0.673,0.522
"38",1828,0.626,0.649
"39",1829,0.686,0.681
"40",1830,0.545,0.602
"41",1831,0.436,0.459
"42",1832,0.514,0.539
"43",1833,0.453,0.428
"44",1834,0.593,0.475
"45",1835,0.5,0.475
"46",1836,0.61,0.507
"47",1837,0.47,0.427
"48",1838,0.455,0.348
"49",1839,0.581,0.491
"50",1840,0.393,0.269
"51",1841,0.393,0.364
"52",1842,0.44,0.364
"53",1843,0.645,0.507
"54",1844,0.551,0.38
"55",1845,0.678,0.538
"56",1846,0.616,0.38
"57",1847,0.458,0.475
"58",1848,0.599,0.522
"59",1849,0.331,0.348
"60",1850,0.363,0.379
"61",1851,0.457,0.396
"62",1852,0.379,0.285
"63",1853,0.364,0.285
"64",1854,0.38,0.285
"65",1855,0.459,0.332
"66",1856,0.507,0.284
"67",1857,0.396,0.348
"68",1858,0.46,0.222
"69",1859,0.365,0.19
"70",1860,0.54,0.301
"71",1861,0.46,0.206
"72",1862,0.413,0.222
"73",1863,0.524,0.254
"74",1864,0.539,0.317
"75",1865,0.523,0.317
"76",1866,0.365,0.301
"77",1867,0.444,0.587
"78",1868,0.444,0.714
"79",1869,0.317,0.825
"80",1870,0.254,0.793
"81",1871,0.317,0.714
"82",1872,0.492,0.809
"83",1873,0.571,0.745
"84",1874,0.444,0.761
"85",1875,0.381,0.745
"86",1876,0.317,0.595
"87",1877,0.618,1.26
"88",1878,0.649,1.014
"89",1879,0.903,0.904
"90",1880,0.317,0.301
"91",1881,0.934,1.285
"92",1882,0.601,1.079
"93",1883,0.744,1.204
"94",1884,0.76,1.03
"95",1885,0.689,1.092
"96",1886,0.927,0.949
"97",1887,0.523,0.538
"98",1888,0.46,0.648
"99",1889,0.524,0.916
"100",1890,0.397,0.837
"101",1891,0.46,1.209
"102",1892,0.524,1.001
"103",1893,0.698,1.064
"104",1894,0.698,1.139
"105",1895,0.873,1.303
"106",1896,0.682,1.151
"107",1897,0.651,0.942
"108",1898,0.46,0.706
"109",1899,0.381,0.33
"110",1900,0.603,0.769
"111",1901,0.777,0.674
"112",1902,0.712,1.176
"113",1903,0.633,1.018
"114",1904,0.87,1.282
"115",1905,0.617,1.292
"116",1906,0.364,1.455
"117",1907,0.379,0.82
"118",1908,0.616,0.96
"119",1909,0.379,0.774
"120",1910,0.394,1.011
"121",1911,0.331,1.204
"122",1912,0.236,0.871
"123",1913,0.628,0.951
"124",1914,0.89,1.332
"125",1915,1.085,0.999
"126",1916,0.655,0.619
"127",1917,0.656,0.857
"128",1918,0.344,0.54
"129",1919,0.409,0.904
"130",1920,0.347,0.73
"131",1921,0.3,0.603
"132",1922,0.316,0.746
"133",1923,0.332,0.762
"134",1924,0.269,0.666
"135",1925,0.332,0.856
"136",1926,0.316,0.982
"137",1927,0.285,0.507
"138",1928,0.286,0.697
"139",1929,0.365,0.728
"140",1930,0.286,0.789
"141",1931,0.302,1.138
"142",1932,0.286,1.374
"143",1933,0.365,1.352
"144",1934,0.333,1.262
"145",1935,0.46,0.851
"146",1936,0.397,0.693
"147",1937,0.532,0.806
"148",1938,0.532,0.933
"149",1939,0.555,1.299
"150",1940,0.214,0.777
"151",1941,0.317,1.474
"152",1942,0.238,0.682
"153",1943,0.323,1.016
"154",1944,0.392,1.587
"155",1945,0.36,1.159
"156",1946,0.267,1.143
"157",1947,0.519,1.348
"158",1948,0.629,1.332
"159",1949,0.849,1.492
"160",1950,0.723,1.492
"161",1951,0.724,1.095
"162",1952,0.567,0.746
"163",1953,0.427,0.841
"164",1954,0.474,1.411
"165",1955,0.538,1.363
"166",1956,0.649,1.126
"167",1957,0.758,1.19
"168",1958,1.152,1
"169",1959,1.184,0.865
"170",1960,0.726,0.928
"171",1961,0.758,1.285
"172",1962,0.677,1.031
"173",1963,1.07,1.205
