tree,n_missing_total,n_missing_1980_on,n_outliers_total
SP01AAUn_raw,67,6,4
SP02AAUn_raw,126,6,2
SP02BBUn_raw,146,6,2
SP03AAUn_raw,95,6,0
SP03BBUn_raw,103,6,0
SP05AAUn_raw,158,6,3
SP05BBUn_raw,152,6,2
SP06AAUn_raw,22,6,5
SP06BBUn_raw,26,6,4
SP07AAUn_raw,118,6,0
SP07BBUn_raw,126,6,0
SPF01A_raw,93,6,8
SPF01B_raw,93,6,6
SPF03A_raw,96,6,5
SPF03B_raw,96,6,6
SPF04A_raw,27,6,3
SPF04B_raw,6,6,6
SPF05A_raw,111,6,1
SPF05B_raw,116,6,3
SPF06A_raw,159,6,3
SPF06B_raw,145,6,2
SPF07A_raw,22,6,4
SPF07B_raw,17,6,5
SPF08A_raw,186,6,1
SPF08B_raw,185,6,1
SPF09B_raw,151,6,2
SPF10A_raw,139,6,1
SPF10B_raw,152,6,2
SPF11A_raw,42,6,3
SPF11B_raw,43,6,6
SPS01A_raw,187,6,4
SPS01B_raw,189,6,3
SPS02A_raw,145,6,3
SPS03A_raw,181,6,2
SPS03B_raw,191,6,2
SPS04A_raw,109,6,4
SPS04B_raw,111,13,1
SPS05A_raw,94,6,1
SPS05B_raw,133,6,2
SPS06A_raw,183,6,4
SPS06B_raw,188,6,3
SPS07A_raw,177,6,0
SPS07B_raw,177,6,1
SPS08A_raw,98,6,2
SPS08B_raw,82,6,4
SPS09A_raw,177,6,2
SPS09C_raw,137,6,0
