age_CE,HMHL01A_raw,HMHL02A_raw,HMHL03A_raw,HMHL04A_raw,HMHL05A_raw,HMHL08A_raw,HMHL09A_raw,HMHL10A_raw,HMHL11A_raw,HMHL12A_raw,HMHL14A_raw,HMHL15A_raw,HMHL17A_raw,HMHL18A_raw,HMHL19A_raw,HMHL20A_raw,HMHL01A_raw_outlier_flag,HMHL02A_raw_outlier_flag,HMHL03A_raw_outlier_flag,HMHL04A_raw_outlier_flag,HMHL05A_raw_outlier_flag,HMHL08A_raw_outlier_flag,HMHL09A_raw_outlier_flag,HMHL10A_raw_outlier_flag,HMHL11A_raw_outlier_flag,HMHL12A_raw_outlier_flag,HMHL14A_raw_outlier_flag,HMHL15A_raw_outlier_flag,HMHL17A_raw_outlier_flag,HMHL18A_raw_outlier_flag,HMHL19A_raw_outlier_flag,HMHL20A_raw_outlier_flag
1779,NA,NA,NA,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1780,NA,NA,NA,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1781,NA,NA,NA,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1782,NA,NA,NA,2.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1783,NA,NA,NA,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1784,NA,NA,NA,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1785,NA,NA,NA,2.19,NA,NA,NA,NA,NA,NA,NA,NA,0.71,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
1786,NA,NA,NA,2.23,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
1787,NA,NA,NA,2.26,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
1788,NA,NA,NA,2.97,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
