age_CE,BC3001A_raw,BC3002B_raw,BC3003A_raw,BC3004A_raw,BC3005A_raw,BC3006A_raw,BC3007A_raw,BC3008B_raw,BC3009B_raw,BC3010A_raw,BC3011A_raw,BC3012B_raw,BC3013A_raw,BC3014A_raw,BC3015B_raw,BC3016B_raw,BC3017A_raw,BC3018B_raw,BC3019A_raw,BC3020A_raw,BC3001A_raw_outlier_flag,BC3002B_raw_outlier_flag,BC3003A_raw_outlier_flag,BC3004A_raw_outlier_flag,BC3005A_raw_outlier_flag,BC3006A_raw_outlier_flag,BC3007A_raw_outlier_flag,BC3008B_raw_outlier_flag,BC3009B_raw_outlier_flag,BC3010A_raw_outlier_flag,BC3011A_raw_outlier_flag,BC3012B_raw_outlier_flag,BC3013A_raw_outlier_flag,BC3014A_raw_outlier_flag,BC3015B_raw_outlier_flag,BC3016B_raw_outlier_flag,BC3017A_raw_outlier_flag,BC3018B_raw_outlier_flag,BC3019A_raw_outlier_flag,BC3020A_raw_outlier_flag
1621,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1622,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1623,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1624,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1625,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1626,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1627,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1628,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1629,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1630,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
