age_CE,MD0101A_raw,MD0102A_raw,MD0103B_raw,MD0104B_raw,MD0106A_raw,MD0107B_raw,MD0108A_raw,MD0109A_raw,MD0110A_raw,MD0111B_raw,MD0112A_raw,MD0113B_raw,MD0117B_raw,MD0118A_raw,MD0119A_raw,MD0120A_raw,MD0121B_raw,MD0122B_raw,MD0123A_raw,MD0124B_raw,MD0125B_raw,MD0130B_raw,MD0131A_raw,MD0135B_raw,MD0101A_raw_outlier_flag,MD0102A_raw_outlier_flag,MD0103B_raw_outlier_flag,MD0104B_raw_outlier_flag,MD0106A_raw_outlier_flag,MD0107B_raw_outlier_flag,MD0108A_raw_outlier_flag,MD0109A_raw_outlier_flag,MD0110A_raw_outlier_flag,MD0111B_raw_outlier_flag,MD0112A_raw_outlier_flag,MD0113B_raw_outlier_flag,MD0117B_raw_outlier_flag,MD0118A_raw_outlier_flag,MD0119A_raw_outlier_flag,MD0120A_raw_outlier_flag,MD0121B_raw_outlier_flag,MD0122B_raw_outlier_flag,MD0123A_raw_outlier_flag,MD0124B_raw_outlier_flag,MD0125B_raw_outlier_flag,MD0130B_raw_outlier_flag,MD0131A_raw_outlier_flag,MD0135B_raw_outlier_flag
1848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
1849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
1850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,0.57,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,0.61,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,0.53,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,0.62,NA,NA,NA,0.56,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,0.46,NA,0.68,NA,NA,NA,0.57,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,0.51,NA,0.61,NA,NA,NA,0.72,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,0.58,NA,0.44,NA,NA,NA,0.33,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,0.42,NA,0.16,NA,NA,NA,0.44,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
