tree,n_missing_total,n_missing_1980_on,n_outliers_total
AMR02A_raw,365,28,0
AMR03A_raw,350,28,1
AMR04C_raw,213,45,3
AMR04F_raw,335,28,0
AMR04D_raw,95,28,7
AMR05A_raw,212,28,1
AMR05B_raw,196,28,1
AMR05C_raw,147,28,2
AMR05D_raw,126,28,0
AMR05E_raw,122,28,3
AMR06A_raw,291,28,3
AMR06B_raw,318,28,0
AMR07A_raw,136,28,2
AMR07B_raw,281,28,1
AMR08A_raw,204,45,4
AMR08B_raw,168,28,7
AMR09A_raw,274,28,0
AMR10A_raw,211,45,4
AMR10B_raw,125,28,4
AMR11A_raw,193,28,3
AMR11B_raw,307,45,2
AMR11C_raw,329,28,1
AMR13A_raw,215,28,2
AMR13B_raw,251,28,3
AMR13C_raw,265,28,2
AMR14A_raw,195,28,2
AMR14B_raw,219,28,2
AMR14C_raw,180,28,2
AMR15A_raw,341,28,0
AMR16A_raw,367,28,0
AMR16B_raw,374,28,1
AMR17A_raw,273,28,4
AMR18A_raw,218,28,1
AMR18B_raw,268,28,4
AMR19A_raw,250,28,0
AMR19B_raw,242,28,0
AMR20A_raw,226,28,2
AMR20B_raw,280,28,3
AMR21A_raw,226,28,4
AMR22A_raw,343,28,1
AMR22B_raw,340,28,1
AMR23A_raw,351,45,0
AMR24A_raw,164,28,7
AMR24B_raw,224,45,3
AMR26A_raw,247,28,1
AMR26B_raw,279,28,4
AMR27A_raw,158,28,4
AMR27B_raw,149,45,2
AMR27C_raw,181,45,4
AMR30A_raw,276,28,3
AMR31A_raw,305,28,2
AMR31B_raw,296,28,3
AMR32A_raw,105,28,4
AMR32B_raw,95,28,4
AMR32C_raw,102,28,3
AMR33A_raw,251,28,1
AMR33B_raw,214,28,3
AMR34A_raw,108,28,3
AMR34B_raw,112,28,3
AMR34C_raw,215,28,3
AMR35A_raw,194,28,2
AMR35B_raw,193,28,1
AMR35C_raw,176,28,1
AMR36A_raw,341,28,0
AMR37A_raw,174,28,1
AMR37B_raw,169,28,2
AMR38A_raw,206,45,2
AMR38B_raw,129,28,1
AMR38C_raw,210,45,1
AMR39A_raw,322,28,1
AMR39B_raw,327,28,0
AMR40A_raw,107,45,2
AMR41A_raw,359,28,1
AMR41B_raw,368,28,0
AMR42B_raw,30,28,10
AMR42C_raw,84,45,10
AMR43A_raw,319,28,2
AMR43B_raw,321,28,1
AMR44A_raw,344,28,1
AMR44B_raw,341,28,0
AMR45A_raw,331,28,1
AMR45B_raw,331,28,1
AMR46A_raw,352,28,0
AMR46B_raw,363,28,0
AMR48A_raw,234,28,3
AR201A_raw,345,21,1
AR2O2A_raw,344,21,2
AR203A_raw,267,45,2
AR204A_raw,354,21,2
AR205A_raw,354,27,1
AR206A_raw,340,21,1
AR207A_raw,338,21,3
AR208A_raw,342,21,2
AR209A_raw,233,44,3
AR210A_raw,342,21,2
AR211A_raw,327,44,2
AR212A_raw,226,21,3
AR213A_raw,308,25,1
AR214A_raw,358,21,0
AR215A_raw,303,21,0
AR216A_raw,326,21,1
AR217A_raw,348,21,1
AR218A_raw,204,21,2
AR219A_raw,298,21,0
AR220A_raw,326,21,3
AR221A_raw,310,21,1
AR222A_raw,355,21,1
AR223A_raw,345,21,1
AR224A_raw,316,27,1
AR225A_raw,281,21,0
AR226A_raw,371,45,1
AR227A_raw,315,26,1
AR228A_raw,339,26,0
AR229A_raw,371,21,1
AR230A_raw,339,21,0
AR231A_raw,316,24,3
AR232A_raw,362,21,1
AR233A_raw,307,21,0
AR234A_raw,361,37,0
AR235A_raw,327,21,0
AR236A_raw,324,29,1
AR237A_raw,331,21,2
AR238A_raw,196,21,7
AR239A_raw,313,45,1
AR239B_raw,384,21,0
AR240A_raw,315,21,1
AR241A_raw,91,21,4
AR242A_raw,90,34,3
