Year,Mountain Range,RB493001,RB493004,RB493005,RB493007,RB493010,RB493011,RB493012,RB493013,RB493014,RB493015,RB493016,RB493017,RB493018,RB493042,RB557702,RB557703,RB557704,RB557705,RB557710,RB557711,RB557714,RB557715,RB557716,RB557718,RB557719,RB557724,RB557729,RB561406,RB561412,RB561417,RB561418,RB561420,RB561424,RB561425,RB561426,RB561427,RB561439,RB561446,RB564902,RB564908,RB564913,RB564916,RB564917,RB564918,RB564920,RB564922,RB564924,RB564925,RB564928,RB564929,JB564930,RB622802,RB622804,RB622806,RB622807,RB622810,RB622812,RB622814,RB622818,RB622819,RB622821,RB622822,RB622824,RB622826,RB622829,RB622831,RB689003,RB689007,RB689009,RB689010,RB689020,RB689022,RB689025,RB689029,RB689030,RB689031,RB689034,RB689036,RB730317,RB730320,RB730323,RG730324,RB730325,RB730326,RB730327,RB730328,RB730329,RB730330,RB730331,RB730332,RB730333,RB730343
1932,Ruby,0.284,NA,0.525,NA,NA,0.298,0.152,0.192,1.793,1.298,0.35,0.358,0.428,0.143,NA,NA,NA,NA,0.73,NA,NA,NA,NA,NA,NA,NA,NA,0.885,0.607,0.613,0.697,NA,0.406,0.226,1.438,NA,0.315,1.342,NA,NA,NA,NA,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.717,NA,NA,0.586,1.832,0.649,0.923,NA,2.509,1.2,1.361,0.742,0.385,0.651,0.326,1.905,2.545,3.918,0.917
1933,Ruby,0.382,NA,0.217,NA,NA,0.098,0.123,0.059,1.705,0.71,0.198,0.378,0.159,0.41,NA,NA,NA,NA,0.914,NA,NA,NA,NA,NA,1.298,NA,2.554,1.134,0.345,0.441,0.366,NA,0.405,0.387,1.496,NA,0.166,1.19,NA,NA,NA,NA,0.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.924,NA,NA,0.605,0.206,0.904,0.76,NA,0.844,1.167,0.927,0.508,0.831,0.559,0.998,1.957,2.217,1.871,0.843
1934,Ruby,0.505,NA,0.455,NA,NA,0.448,0.402,0.412,1.152,0.367,0.377,0.784,0.673,0.508,NA,NA,NA,NA,3.676,NA,NA,NA,NA,NA,2.218,NA,5.252,0.701,0.159,0.268,0.205,NA,0.086,0.225,0.937,NA,0.069,0.99,NA,NA,NA,NA,0.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.988,NA,NA,1.416,1.464,1.342,1.266,NA,0.905,1.022,1.238,0.789,0.778,0.544,1.002,2.067,1.415,1.185,1.106
1935,Ruby,0.344,NA,0.639,NA,NA,0.507,0.645,0.494,1.032,0.529,0.446,0.738,0.47,1.06,NA,NA,NA,NA,3.345,NA,NA,NA,NA,NA,2.334,NA,5.532,0.314,0.282,0.324,0.331,NA,0.393,0.186,0.944,NA,0.242,0.949,NA,NA,NA,NA,1.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.968,NA,NA,0.812,2.98,0.884,0.99,NA,0.644,0.998,0.979,0.313,0.923,0.634,0.754,1.93,0.272,1.002,1.133
1936,Ruby,0.398,NA,0.741,NA,NA,0.601,1.123,0.584,3.23,1.773,0.37,0.548,0.272,0.453,NA,NA,NA,3.058,5.021,4.631,5.171,NA,NA,NA,2.438,NA,4.046,0.607,0.37,0.496,0.525,NA,0.453,0.263,1.038,NA,0.214,1.086,NA,NA,NA,NA,1.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.294,NA,NA,0.603,2.665,0.804,0.886,NA,1.265,1.877,1.25,0.213,0.546,0.126,0.133,0.251,0.311,2.468,0.854
1937,Ruby,0.469,NA,0.443,NA,NA,0.284,0.821,0.649,1.591,0.557,0.357,0.412,0.261,1.111,NA,NA,6.038,3.313,4.865,4.76,4.604,4.348,NA,NA,2.445,NA,3.347,0.496,0.296,0.383,0.27,NA,0.132,0.348,1.727,NA,0.244,0.373,NA,NA,NA,NA,1.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.637,NA,NA,0.838,1.417,1.227,1.266,1.388,1.29,1.219,1.232,1.198,0.86,0.681,0.915,0.968,1.336,1.589,1.282
1938,Ruby,0.782,1.652,1.662,1.902,0.563,0.512,1.109,1.183,1.674,0.562,0.588,0.75,0.223,1.544,NA,NA,3.632,3.151,4.78,4.178,3.648,4.218,3.634,NA,2.981,NA,2.786,1.013,0.518,1.02,0.66,NA,0.651,0.475,1.04,NA,0.526,1.31,NA,NA,NA,NA,1.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.006,NA,NA,1.204,1.346,1.827,1.782,1.438,1.517,1.961,1.423,1.333,2.048,0.755,1.269,1.804,1.955,2.273,1.888
1939,Ruby,0.516,1.01,1.113,0.59,0.53,0.305,0.356,0.365,0.516,0.24,0.288,0.146,0.095,0.485,NA,NA,3.256,2.477,3.146,3.348,3.009,2.666,3.368,NA,2.025,NA,1.793,0.287,0.107,0.104,0.262,NA,0.248,0.359,0.732,NA,0.205,0.796,NA,NA,NA,NA,1.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526,NA,NA,1.162,1.425,1.765,1.4,0.499,1.833,1.352,1.222,1.381,1.129,0.998,1.536,2,1.358,1.881,1.574
1940,Ruby,0.55,1.723,1.412,1.192,0.933,0.791,0.806,0.984,0.847,0.426,0.699,0.647,0.213,1.067,NA,NA,4.354,2.535,4.515,3.173,3.587,2.476,3.364,NA,2.244,NA,1.79,0.51,0.33,0.868,0.573,0.753,0.87,0.551,0.688,NA,0.521,1.045,NA,NA,NA,NA,1.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.383,NA,NA,NA,NA,1.057,1.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.663,NA,NA,1.116,1.386,1.305,0.986,0.779,1.931,1.875,0.87,1.24,1.038,0.832,1.093,1.411,1.365,1.731,1.304
1941,Ruby,0.474,0.512,1.052,0.499,0.871,0.283,0.361,0.383,0.15,0.27,0.341,0.528,0.293,0.521,NA,2.357,2.497,1.584,2.351,2.237,2.703,3.098,3.289,NA,1.936,NA,1.456,0.804,0.345,0.602,0.52,0.629,0.586,0.425,1.004,NA,0.404,0.727,NA,NA,NA,NA,0.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.264,NA,NA,NA,NA,1.177,0.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.395,NA,NA,0.953,1.063,0.724,0.649,1.198,2.315,2.696,1.255,0.604,0.371,0.606,0.481,0.403,0.464,1.264,0.49
1942,Ruby,0.559,1.021,0.92,0.637,0.782,0.723,0.518,0.994,0.519,0.347,0.448,0.772,0.318,0.43,NA,2.464,3.129,3.299,2.589,3.052,1.781,1.814,1.9,NA,1.575,NA,1.52,0.409,0.312,0.375,0.333,0.769,0.481,0.367,0.545,NA,0.325,0.579,NA,NA,NA,NA,0.796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.673,NA,NA,NA,NA,1.113,0.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,NA,NA,1.612,0.994,0.437,0.79,0.391,0.679,0.993,0.469,0.82,0.428,0.36,0.415,0.757,0.944,1.197,1.082
1943,Ruby,0.838,2.605,0.537,0.974,0.702,0.085,0.458,1.011,0.155,1.739,0.233,0.209,0.344,0.3,NA,1.176,0.973,0.949,0.811,1.142,0.567,1.628,1.927,NA,0.544,NA,0.334,0.255,0.095,0.08,0.058,0.427,0.087,0.053,0.49,NA,0.072,0.277,NA,NA,NA,NA,0.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.075,NA,NA,NA,NA,1.354,0.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,NA,NA,0.325,0.254,0.284,0.355,0.305,0.886,1.147,0.613,0.699,0.253,0.12,0.317,0.336,0.207,0.296,0.45
1944,Ruby,0.643,0.62,0.918,1.405,1.135,0.596,0.378,0.949,0.86,1.055,0.389,0.918,0.96,1.038,NA,0.9,1.089,0.934,0.711,0.87,0.778,1.105,1.008,NA,0.732,NA,0.686,0.321,0.156,0.52,0.243,0.681,0.328,0.287,0.356,NA,0.283,0.425,NA,NA,NA,NA,0.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.371,NA,NA,NA,NA,0.231,0.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.641,NA,NA,0.964,0.92,1.047,0.862,0.549,1.495,1.287,1.032,1.163,0.595,0.499,0.472,1.165,0.7,1.413,1.025
1945,Ruby,0.897,0.728,0.678,1.546,0.907,1.038,0.333,1.202,1.411,1.245,0.447,0.646,0.956,1.213,NA,2.549,1.75,2.205,1.522,1.339,0.904,2.232,1.942,NA,0.791,NA,1.214,0.454,0.33,0.613,0.477,1.378,0.592,0.642,0.504,1.267,0.417,0.689,NA,NA,NA,NA,0.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.004,NA,NA,NA,NA,0.838,0.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.313,NA,NA,0.437,0.382,1.093,0.805,0.272,1.477,1.576,0.94,1.495,0.928,0.676,0.943,1.474,1.161,2.139,1.384
1946,Ruby,0.614,0.74,0.668,1.133,0.85,0.85,0.397,1.056,1.474,1.33,0.527,0.811,0.791,1.648,NA,2.007,1.837,2.376,1.948,2.419,1.834,2.259,2.411,2.685,1.096,NA,1.451,0.68,0.409,0.78,0.531,1.404,0.606,0.611,0.895,1.102,0.671,0.934,NA,NA,NA,NA,0.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.59,NA,NA,NA,NA,1.528,1.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,0.216,0.346,0.661,0.723,0.548,1.717,2.3,0.379,0.553,0.477,0.22,0.474,0.648,0.532,2.648,1.247
1947,Ruby,0.715,0.148,0.802,1.165,0.781,1.044,0.541,0.837,1.168,0.875,0.445,0.545,0.809,1.576,NA,2.448,3.085,3.709,3.051,2.838,2.557,2.333,2.685,2.24,1.171,NA,2.04,0.105,0.075,0.164,0.092,0.354,0.158,0.213,0.61,0.477,0.148,0.321,NA,NA,NA,NA,0.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.369,2.32,NA,NA,NA,NA,0.492,0.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212,NA,NA,0.397,0.9,1.162,1.057,0.901,2.354,1.97,0.838,1.682,0.977,0.51,0.899,1.407,1.323,2.17,1.881
1948,Ruby,0.862,0.215,0.49,0.986,0.639,0.612,0.43,0.719,1.091,0.415,0.346,0.704,0.63,1.124,NA,2.962,2.391,3.267,2.642,3.075,1.822,1.796,2.227,1.337,1.161,NA,1.735,0.256,0.123,0.368,0.125,0.418,0.358,0.365,0.485,0.79,0.262,0.413,NA,NA,NA,NA,1.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.384,1.881,NA,NA,NA,NA,0.137,0.481,0.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318,NA,NA,0.361,1.214,1.181,0.761,0.581,1.788,1.228,0.955,1.745,1.129,0.608,1.075,1.537,1.022,1.834,1.303
1949,Ruby,0.788,0.287,0.637,1.096,0.386,0.628,0.557,0.74,0.767,1.271,0.515,0.548,0.908,1.231,NA,1.091,1.002,1.068,1.552,1.44,0.831,1.131,1.362,0.617,0.513,NA,0.825,0.395,0.151,0.571,0.272,1.041,0.462,0.366,0.594,0.786,0.442,0.503,NA,NA,NA,NA,0.908,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.218,3.461,NA,NA,0.653,0.607,0.796,1.446,1.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108,NA,NA,0.3,0.437,0.733,0.566,0.392,2.022,1.049,0.901,1.481,0.909,0.596,0.74,1.485,1.001,1.829,1.822
1950,Ruby,0.089,0.187,0.144,0.055,0.054,0.097,0.086,0.086,0.081,0.082,0.073,0.061,0.096,0.17,NA,0.913,0.415,0.765,1.6,1.089,2.092,1.456,1.463,1.574,0.822,NA,1.071,0.383,0.144,0.598,0.315,1.002,0.443,0.328,0.33,0.675,0.366,0.871,NA,NA,NA,NA,1.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.003,2.637,NA,NA,1.555,0.565,0.703,0.799,1.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073,NA,NA,0.075,NA,NA,0.421,0.112,0.332,0.121,0.091,0.315,0.225,0.381,0.387,0.176,0.185,0.349,0.46,0.268,0.34,0.453
1951,Ruby,0.636,0.621,0.715,1.137,0.434,0.59,0.4,0.724,0.678,1.002,0.428,0.605,0.691,0.766,NA,3.072,2.42,3.967,2.802,1.564,1.8,1.652,2.371,1.596,1.6,NA,1.871,0.572,0.172,0.619,0.307,0.561,0.459,0.343,0.263,0.8,0.411,0.86,NA,NA,NA,NA,0.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.515,2.592,NA,NA,1.1,0.78,1.204,1.341,1.292,NA,NA,NA,NA,1.41,NA,NA,NA,NA,0.089,NA,NA,0.072,NA,NA,0.073,0.05,0.87,0.337,0.582,1.989,1.677,1.328,1.085,0.837,0.334,0.567,0.786,0.638,1.046,0.88
1952,Ruby,1.048,0.281,0.932,1.459,0.413,0.537,0.321,1.461,0.59,1.302,0.24,0.446,0.524,0.521,NA,3.361,2.16,4.03,2.497,2.088,2.092,2.085,2.262,4.38,0.908,NA,1.641,0.626,0.155,0.506,0.433,0.65,0.491,0.451,0.597,0.607,0.425,0.804,NA,NA,NA,NA,1.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.001,3.323,NA,NA,0.578,1.307,2.543,1.902,0.985,NA,NA,NA,NA,3.543,NA,NA,NA,NA,0.583,NA,NA,1.219,NA,NA,0.495,0.1,1.24,0.804,0.785,2.825,2.19,1.98,1.371,1.084,0.618,1.169,1.56,1.033,1.94,1.949
1953,Ruby,0.318,0.262,0.611,0.626,0.161,0.19,0.251,0.542,1.033,1.015,0.055,0.094,0.292,0.268,NA,2.533,1.701,2.699,2.305,1.885,1.146,1.541,1.412,2.747,0.77,NA,1.189,0.358,0.141,0.346,0.246,0.543,0.216,0.293,0.257,0.363,0.166,0.388,NA,NA,NA,NA,1.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.886,1.763,NA,NA,0.559,0.894,1.842,2.1,1.696,NA,1.361,NA,NA,2.212,NA,NA,NA,NA,0.779,NA,NA,1.182,NA,NA,0.451,1.012,1.161,0.754,0.342,1.931,1.273,1.199,1.163,0.942,0.453,0.936,1.079,0.766,1.116,1.224
1954,Ruby,0.116,0.034,0.298,0.095,0.154,0.092,0.087,0.156,0.323,0.343,0.095,0.101,0.208,0.124,NA,2.103,0.639,1.577,1.474,0.632,0.654,1.276,1.134,1.054,0.964,0.828,0.932,0.052,0.051,0.052,0.041,0.218,0.032,0.091,0.051,0.072,0.124,0.037,NA,NA,NA,NA,1.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82,0.887,NA,NA,1.871,1.641,1.797,1.668,1.569,NA,3.099,NA,NA,3.568,NA,NA,NA,NA,0.249,NA,NA,0.813,NA,NA,0.937,1.097,0.49,0.261,0.101,0.496,0.427,0.475,0.418,0.298,0.178,0.379,0.551,0.403,0.433,0.365
1955,Ruby,0.747,0.634,0.781,1.254,0.758,0.551,0.682,0.747,1.31,0.959,0.2,0.591,0.691,0.512,NA,2.307,1.827,2.402,2.058,1.507,1.021,0.781,1.725,1.201,1.29,1.465,1.148,0.099,0.149,0.317,0.434,0.613,0.281,0.353,0.24,0.389,0.366,0.081,NA,NA,NA,NA,1.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.697,1.603,NA,NA,1.827,1.355,1.822,2.092,1.54,NA,1.746,NA,NA,2.203,NA,NA,NA,NA,0.903,NA,NA,1.344,NA,NA,1.254,3.441,0.837,0.618,0.309,1.24,0.996,0.937,0.95,0.745,0.436,0.609,0.986,0.68,0.986,0.901
1956,Ruby,0.204,0.328,0.262,0.664,0.738,0.218,0.299,0.269,1.59,1.699,0.134,0.369,0.287,0.547,NA,2.42,1.557,2.252,1.335,1.644,1.124,1.011,1.586,1.74,0.971,1.774,0.97,0.668,0.378,0.756,0.693,1.147,0.558,0.684,0.484,0.452,0.494,0.326,NA,NA,NA,NA,1.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.554,3.202,NA,NA,0.971,1.204,1.725,1.531,1.76,NA,0.986,1.124,4.131,2.423,NA,NA,NA,NA,0.844,NA,NA,1.429,NA,NA,1.11,3.248,1.166,1.196,0.643,1.748,1.565,1.351,1.256,0.928,0.568,0.842,1.191,0.662,1.275,1.364
1957,Ruby,0.411,0.308,0.877,0.935,0.936,0.444,0.648,0.686,1.335,1.066,0.17,0.603,0.397,0.627,NA,2.234,1.459,2.489,2.114,1.5,1.014,1.112,1.451,1.227,1.231,1.751,1.068,1.093,0.329,0.512,0.506,1.202,0.536,0.492,0.396,0.308,0.334,0.781,NA,NA,NA,NA,1.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.392,3.46,NA,NA,1.54,0.931,1.296,1.434,1.381,NA,1.571,2.332,3.126,2.102,NA,NA,NA,NA,0.65,NA,0.256,1.426,NA,NA,1.291,2.904,1.219,1.414,0.576,1.79,1.318,1.613,1.325,1.176,0.714,0.921,1.294,0.783,1.398,1.461
1958,Ruby,0.667,0.245,0.769,0.876,0.775,0.27,0.848,0.594,1.839,1.401,0.088,0.201,0.309,0.48,NA,2.919,2.084,2.76,2.055,1.81,1.519,1.58,1.689,1.185,1.101,2.189,1.4,0.475,0.439,0.492,0.378,1.269,0.469,0.473,0.382,0.301,0.336,0.54,NA,NA,NA,NA,1.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97,2.352,NA,NA,1.649,0.952,1.896,1.707,1.853,NA,1.558,2.805,3.937,2.888,NA,NA,NA,NA,1.098,NA,1.635,2.213,2.86,NA,1.477,3.206,1.346,1.204,0.569,2.152,1.359,2.577,1.511,1.509,0.506,0.944,1.091,0.721,1.306,0.974
1959,Ruby,1.169,0.519,0.802,1.398,1.099,0.719,0.998,0.904,1.524,1.036,0.178,0.802,0.467,0.804,NA,1.349,1.025,1.023,1.112,1.284,0.599,0.974,0.67,0.813,0.746,1.231,0.664,0.579,0.563,0.486,0.579,0.957,0.68,0.427,0.426,0.246,0.372,0.617,NA,NA,NA,NA,1.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.045,1.345,NA,NA,1.682,1.014,1.461,1.422,1.467,NA,1.203,2.726,2.942,1.294,NA,NA,NA,NA,0.626,NA,2.288,1.368,2.078,NA,1.102,1.34,0.475,0.662,0.328,0.964,0.743,0.857,0.754,0.732,0.476,0.482,0.552,0.42,0.693,0.902
1960,Ruby,1.191,0.734,0.763,1.104,0.974,0.8,1.279,1.014,1.701,1.019,0.232,0.652,0.719,0.817,NA,0.641,0.135,0.09,0.364,0.231,0.247,0.23,0.582,0.64,0.637,0.267,0.068,0.528,0.69,0.539,0.52,1.048,0.754,0.517,0.346,0.225,0.328,0.452,NA,NA,NA,NA,1.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.887,1.847,NA,NA,2.086,0.64,1.587,1.081,1.461,NA,1.505,2.895,2.054,1.589,NA,0.917,3.434,3.032,0.536,NA,3.077,1.051,2.58,NA,2.165,0.681,0.067,0.066,0.185,0.505,0.239,0.196,0.128,0.163,0.054,0.249,0.248,0.117,0.164,0.157
1961,Ruby,1.003,0.747,0.822,1.247,0.666,0.411,1.018,0.515,1.099,0.461,0.087,0.501,0.412,1.023,NA,2.654,1.477,1.917,1.395,1.523,0.851,1.078,1.134,0.882,0.789,1.436,0.732,0.494,0.618,0.639,0.494,0.753,0.256,0.398,0.298,0.278,0.268,0.384,NA,NA,NA,NA,1.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.622,2.145,NA,NA,1.481,0.864,2.443,1.869,1.538,NA,0.787,2.595,2.815,1.477,NA,0.405,3.482,2.896,0.8,NA,2.262,1.252,2.225,NA,0.345,0.607,0.544,0.57,0.463,0.801,0.701,0.805,0.793,0.551,0.351,0.409,0.51,0.389,0.706,0.891
1962,Ruby,1.625,0.89,1.108,1.456,0.331,0.348,0.989,1.428,1.352,0.559,0.17,0.711,0.509,1.406,NA,1.066,0.797,1.257,0.755,1.236,0.998,0.714,1.137,1.245,1.062,1.108,0.635,0.488,0.611,0.504,0.85,1.006,0.497,0.446,0.415,0.273,0.261,0.557,NA,NA,NA,NA,1.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.975,0.572,NA,NA,0.625,0.366,1.114,0.546,0.915,NA,0.259,1.256,1.632,1.032,NA,0.651,3.586,2.821,0.504,NA,1.981,0.566,1.526,0.722,0.326,0.266,0.099,0.082,0.046,0.151,0.129,0.12,0.111,0.067,0.042,0.071,0.044,0.095,0.139,0.205
1963,Ruby,1.459,0.947,0.726,1.136,0.839,0.551,1.021,1.194,1.18,0.149,0.285,1.077,0.912,1.754,NA,0.568,0.675,1.06,0.602,1.187,0.53,0.531,0.635,0.465,0.623,0.915,0.44,0.67,0.261,0.234,0.282,0.983,0.36,0.182,0.309,0.095,0.147,0.432,NA,NA,NA,NA,1.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,0.254,NA,NA,0.54,0.531,1.077,0.507,0.53,1.947,0.268,0.363,0.194,1.341,1.875,0.478,2.207,2.405,0.727,NA,1.462,1.585,1.258,1.425,1.978,1.257,0.423,0.271,0.317,1.286,0.277,0.179,0.929,0.867,0.339,0.487,0.523,0.458,1.071,0.962
1964,Ruby,0.881,0.674,0.503,1.048,0.168,0.102,0.353,0.291,0.334,0.095,0.523,1.186,0.737,0.946,NA,0.441,0.264,0.691,0.576,0.662,0.228,0.306,0.4,0.198,0.409,0.518,0.265,0.188,0.455,0.585,0.664,0.695,0.379,0.249,0.344,0.207,0.228,0.415,NA,NA,NA,NA,1.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.192,0.913,NA,NA,0.849,0.386,1.494,1.156,0.908,1.317,0.379,0.121,0.122,1.498,1.479,0.228,0.552,0.913,0.382,NA,0.287,0.557,0.84,0.423,0.963,0.481,0.66,0.463,0.283,1.023,0.444,0.531,1.269,0.967,0.303,0.598,0.848,0.643,1.27,0.69
1965,Ruby,1.251,1.07,0.867,1.89,0.24,0.391,1.062,0.501,0.329,0.49,0.601,1.274,0.721,0.98,NA,0.812,0.357,0.862,0.252,0.408,0.206,0.434,0.409,0.223,0.388,0.434,0.363,0.605,0.44,0.76,0.944,1.111,0.693,0.323,0.459,0.191,0.335,0.614,NA,NA,NA,NA,1.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.702,2.134,NA,NA,0.73,0.421,1.379,1.687,1.134,0.989,0.816,0.321,0.311,1.841,2.6,0.636,1.024,0.371,0.769,NA,0.463,0.258,1.548,0.679,0.27,1.199,1.153,0.569,0.105,1.089,0.612,0.47,1.097,0.995,0.163,0.858,0.76,0.591,1.576,0.657
1966,Ruby,1.21,1.286,1.066,1.731,1.092,0.902,1.08,0.512,1.379,0.81,1.049,1.221,1.161,1.303,NA,1.14,0.434,0.758,0.535,0.885,0.299,0.934,0.639,0.341,0.421,1.1,0.611,0.583,0.336,0.622,0.577,1.12,0.465,0.318,0.435,0.109,0.285,0.404,NA,NA,NA,NA,1.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02,1.332,NA,NA,0.881,0.273,1.804,2.59,0.871,2.655,0.941,1.213,0.424,2.704,2.287,0.752,0.907,0.234,1.199,0.838,0.484,1.181,1.738,0.93,0.399,1.469,0.735,0.389,0.535,1.257,0.564,0.3,0.941,0.557,0.171,0.592,0.66,0.36,0.651,0.527
1967,Ruby,1.498,1.431,1.109,1.946,1.131,1.363,1.707,0.725,2.191,1.304,0.945,1.404,1.262,1.445,NA,2.263,1.028,2.104,1.464,1.684,1.547,1.667,1.266,1.452,1.165,1.648,1.381,0.441,0.542,0.587,0.681,0.88,0.342,0.314,0.444,0.229,0.295,0.44,NA,NA,NA,NA,1.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.036,1.175,1.221,NA,1.464,1.144,2.705,3.459,1.68,1.337,1.365,2.589,1.191,2.493,2.018,0.966,0.869,0.906,1.399,1.849,0.513,1.771,2.465,1.618,0.626,2.267,0.715,0.645,0.477,2.024,1.31,0.789,1.296,1.054,0.397,0.773,0.883,0.57,1.621,0.801
1968,Ruby,1.509,1.336,1.335,1.976,1.24,1.238,1.441,0.63,2.3,0.82,0.791,1.346,1.227,0.97,NA,1.887,1.294,1.841,0.96,1.502,1.203,1.774,0.914,0.658,0.877,1.974,1.051,0.804,0.196,0.238,0.467,1.189,0.336,0.18,0.425,0.119,0.22,0.511,NA,NA,NA,NA,1.383,NA,NA,NA,NA,NA,NA,NA,NA,1.059,1.028,0.762,1.078,NA,0.733,0.329,2.281,2.052,1.242,1.855,0.743,1.801,1.094,1.448,1.897,1.495,1.367,1.336,1.699,2.735,1.06,2.556,1.919,1.602,0.61,1.716,0.851,0.73,0.627,1.613,1.492,0.693,1.668,0.926,0.562,0.757,0.85,0.564,1.325,0.986
1969,Ruby,1.432,1.8,1.551,1.984,1.793,0.479,1.396,1.772,2.502,1.371,0.528,1.555,1.351,1.567,NA,2.232,1.655,1.965,1.765,1.593,1.385,2.281,1.239,1.353,1.021,3.713,1.98,1.186,0.283,0.293,0.64,0.988,0.506,0.215,0.518,0.154,0.238,0.583,NA,NA,NA,NA,2.48,NA,NA,NA,NA,NA,NA,NA,NA,1.483,3.652,1.775,1.102,NA,1.255,0.859,3.044,4.505,1.665,1.785,0.368,3.735,1.511,2.546,2.585,1.616,2.485,0.927,1.8,2.982,0.97,2.362,2.247,1.348,0.582,1.49,0.811,1.19,0.644,1.598,0.897,0.879,1.611,0.534,0.534,0.634,0.874,0.655,1.167,1.321
1970,Ruby,1.636,1.377,1.234,1.637,1.451,0.833,1.772,1.24,1.971,1.241,1.254,1.858,0.795,1.72,NA,1.685,1.572,1.889,2.606,1.474,0.965,1.667,1.134,1.59,0.719,2.301,1.103,1.01,0.603,0.67,0.925,0.875,0.472,0.452,0.869,0.24,0.443,0.829,NA,NA,NA,NA,2.058,NA,NA,NA,NA,NA,NA,NA,NA,1.496,3.482,3.223,2.07,3.38,1.414,0.56,2.655,3.032,1.686,1.297,0.547,3.463,1.612,2.515,2.723,1.473,1.604,1.134,2.952,2.672,1.547,2.601,2.434,1.929,1.495,2.32,2.334,1.768,0.946,2.21,2.726,1.558,2.557,1.941,0.947,2.014,1.464,0.957,1.996,2.085
