Year,Mountain Range,RB493001,RB493004,RB493005,RB493007,RB493010,RB493011,RB493012,RB493013,RB493014,RB493015,RB493016,RB493017,RB493018,RB493042,RB557702,RB557703,RB557704,RB557705,RB557710,RB557711,RB557714,RB557715,RB557716,RB557718,RB557719,RB557724,RB557729,RB561406,RB561412,RB561417,RB561418,RB561420,RB561424,RB561425,RB561426,RB561427,RB561439,RB561446,RB564902,RB564908,RB564913,RB564916,RB564917,RB564918,RB564920,RB564922,RB564924,RB564925,RB564928,RB564929,JB564930,RB622802,RB622804,RB622806,RB622807,RB622810,RB622812,RB622814,RB622818,RB622819,RB622821,RB622822,RB622824,RB622826,RB622829,RB622831,RB689003,RB689007,RB689009,RB689010,RB689020,RB689022,RB689025,RB689029,RB689030,RB689031,RB689034,RB689036,RB730317,RB730320,RB730323,RG730324,RB730325,RB730326,RB730327,RB730328,RB730329,RB730330,RB730331,RB730332,RB730333,RB730343
1912,Ruby,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.075,1.565,NA,NA,0.429,NA,NA,NA,NA,NA,2.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.354,NA,NA,NA,NA,NA,2.122,1.684,1.176,1.48,NA,NA,NA,NA
1913,Ruby,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.982,1.169,NA,NA,0.401,NA,NA,NA,NA,NA,2.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.547,NA,NA,NA,NA,NA,1.339,1.982,1.983,0.974,NA,NA,NA,NA
1914,Ruby,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.774,1.486,NA,NA,0.128,NA,NA,NA,NA,NA,2.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.288,NA,NA,NA,NA,NA,1.309,1.564,1.206,1.182,NA,NA,NA,NA
1915,Ruby,0.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.815,1.022,NA,NA,0.327,NA,NA,NA,NA,NA,2.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.985,0.85,NA,NA,NA,NA,0.79,0.813,1.512,0.142,NA,NA,NA,NA
1916,Ruby,1.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.983,0.705,NA,NA,0.407,NA,NA,NA,NA,NA,1.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12,1.083,NA,NA,NA,NA,0.957,0.183,0.572,0.156,NA,NA,NA,NA
1917,Ruby,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.417,0.521,NA,NA,0.354,NA,NA,NA,NA,NA,0.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.195,0.945,NA,NA,NA,NA,0.636,0.671,0.801,1.069,NA,NA,NA,NA
1918,Ruby,1.697,NA,NA,NA,NA,0.294,NA,NA,NA,NA,NA,NA,NA,1.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.271,0.746,NA,NA,0.593,NA,NA,NA,NA,NA,0.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.896,1.552,NA,NA,NA,NA,0.817,0.306,0.349,0.723,NA,NA,NA,NA
1919,Ruby,0.813,NA,NA,NA,NA,0.937,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.471,0.761,NA,NA,0.278,NA,NA,NA,NA,NA,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.107,0.921,NA,0.634,NA,NA,0.814,0.567,0.521,1.092,NA,NA,NA,NA
1920,Ruby,0.446,NA,NA,NA,NA,1.201,NA,NA,NA,NA,NA,NA,NA,0.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,0.808,NA,NA,0.151,NA,NA,NA,NA,NA,1.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.937,1.277,NA,0.783,NA,NA,0.879,0.684,0.835,1.248,NA,NA,NA,NA
1921,Ruby,0.51,NA,NA,NA,NA,1.082,NA,NA,NA,NA,NA,NA,NA,0.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.068,0.329,NA,NA,0.202,NA,NA,NA,NA,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.868,1.169,NA,1.238,NA,NA,0.777,0.583,0.655,0.941,NA,NA,NA,NA
