Year,Mountain Range,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,CMI01,CMI02,CMI03,CMI04,CMI05,CMI06,CMI07,CMI08,CMI09,CMI10,CMI11,CMI12
1910,Jarbidge,-8.350,-6.875,2.725,5.588,8.288,12.325,17.450,14.963,10.775,5.925,1.488,-2.013,54.250,85.375,18.500,60.250,34.000,3.500,17.250,2.875,30.250,48.000,46.500,102.250,5.426,8.540,-0.656,0.904,-4.435,-11.906,-14.196,-15.134,-6.916,-0.823,2.806,9.640
1911,Jarbidge,-3.913,-8.263,0.275,0.600,4.600,11.350,15.513,13.863,9.475,3.213,-2.925,-6.938,182.375,41.875,40.125,88.375,39.625,52.375,12.500,4.000,6.250,40.250,77.000,38.625,18.013,4.200,2.520,7.050,-0.011,-4.261,-12.960,-14.015,-8.504,0.700,7.260,3.874
1912,Jarbidge,-3.925,-1.988,-2.563,0.563,4.925,11.450,13.925,14.325,7.850,2.975,0.763,-5.100,66.375,154.125,61.500,108.000,46.750,27.875,19.375,15.875,25.375,147.875,81.500,46.000,6.435,14.739,5.666,9.279,0.580,-7.699,-9.785,-11.023,-4.946,12.306,6.620,4.530
1913,Jarbidge,-7.913,-6.250,-3.300,2.313,7.400,10.513,14.188,16.163,10.975,4.288,0.500,-7.375,50.750,19.250,42.875,36.500,17.750,120.875,66.250,10.750,21.750,34.000,94.250,77.250,5.091,1.910,3.910,0.963,-4.858,3.510,-4.816,-12.619,-7.926,-0.144,8.151,7.721
1914,Jarbidge,-2.763,-4.413,-0.025,2.588,8.400,9.725,16.375,16.300,10.513,6.100,0.713,-9.463,77.750,71.500,22.125,78.375,50.500,65.375,26.000,4.750,35.000,75.375,5.375,25.500,7.409,6.989,0.781,5.370,-2.268,-1.741,-11.241,-14.794,-6.713,3.118,-1.545,2.543
1915,Jarbidge,-6.238,-2.175,-0.013,4.950,4.500,9.375,14.075,17.438,8.875,6.550,-1.413,-4.238,38.125,115.500,8.750,78.875,110.125,12.250,15.625,2.125,41.000,1.875,58.750,53.375,3.828,10.983,-0.670,3.849,7.849,-7.360,-11.109,-16.910,-3.283,-5.666,5.016,5.188
1916,Jarbidge,-9.150,-2.900,0.463,3.163,3.963,9.500,14.488,14.263,10.613,3.075,-3.425,-7.000,143.875,129.000,63.375,9.125,45.375,9.000,22.125,14.375,2.875,64.375,32.500,102.875,14.405,12.480,4.830,-2.319,0.974,-8.171,-11.359,-11.990,-10.304,3.578,2.873,10.289
1917,Jarbidge,-10.625,-6.388,-7.113,-0.750,3.663,9.675,17.325,15.525,11.575,6.625,2.325,0.238,37.375,89.125,57.625,93.625,120.125,26.500,21.250,28.625,19.000,3.750,63.375,40.125,3.720,8.895,5.760,8.328,9.279,-6.841,-14.225,-10.940,-8.643,-5.618,3.940,2.746
1918,Jarbidge,-3.813,-5.838,-0.450,1.138,4.975,15.125,15.650,13.063,12.125,6.513,-2.275,-6.450,74.750,72.125,66.500,70.250,82.125,60.000,28.750,36.500,55.250,84.875,44.750,42.500,7.270,7.195,5.465,4.773,3.516,-8.120,-11.390,-8.146,-4.609,3.985,3.883,4.253
1919,Jarbidge,-4.538,-5.000,-2.775,3.525,8.563,12.750,17.813,16.763,11.388,0.588,-1.600,-6.425,13.375,143.750,59.625,60.625,37.250,1.375,15.000,3.750,41.250,107.375,55.625,111.375,1.230,14.294,5.531,2.898,-4.531,-12.254,-15.341,-14.928,-5.178,9.310,4.818,11.136
1920,Jarbidge,-2.750,-3.175,-2.650,-0.450,5.775,9.900,16.875,15.813,10.750,3.163,-1.563,-4.100,42.000,69.500,74.500,124.375,83.000,55.750,20.125,43.500,35.625,129.000,99.250,151.750,3.640,6.500,6.984,11.226,3.243,-3.728,-13.045,-9.990,-6.109,10.386,9.344,15.024
1921,Jarbidge,-4.125,-3.350,0.338,0.475,6.263,12.088,15.950,16.463,8.475,7.150,1.500,-3.150,115.125,85.625,39.750,67.500,98.750,25.250,6.250,10.250,8.375,11.000,42.000,91.500,11.339,8.189,2.600,5.203,5.101,-7.589,-14.141,-13.334,-7.763,-5.801,2.010,8.759
