tree,n_missing_total,n_missing_1980_on,n_outliers_total
BCW-01E_raw,83,25,2
BCW-01W_raw,79,25,0
BCW-02E_raw,90,25,0
BCW-02W_raw,95,25,0
BCW-03E_raw,37,25,2
BCW-03W_raw,42,29,0
BCW-04E_raw,62,25,1
BCW-04W_raw,60,25,1
BCW-05E_raw,43,25,2
BCW-05W_raw,43,25,1
BCW-06E_raw,53,25,1
BCW-06W_raw,62,25,1
BCW-07E_raw,62,25,2
BCW-07W_raw,60,25,0
BCW-11E_raw,50,25,2
BCW-11W_raw,59,25,0
BCW-12E_raw,56,25,1
BCW-12W_raw,43,25,0
BCW-13E_raw,71,25,0
BCW-13W_raw,49,25,0
BCW-14E_raw,36,25,1
BCW-14W_raw,25,25,0
BCW-15E_raw,36,25,1
BCW-15W_raw,43,25,1
BCW-16E_raw,54,25,0
BCW-16W_raw,79,45,1
BCW-17E_raw,73,25,2
BCW-17W_raw,41,25,1
BCW-18E_raw,35,25,1
BCW-18W_raw,55,45,1
BCW-19E_raw,37,25,2
BCW-19W_raw,29,25,0
BCW-20E_raw,43,25,1
BCW-20W_raw,44,25,0
