"","years","Tag","Ring_width(mm)"
"1",1872,"2847086010690-2847101010690",0.21
"2",1873,"2847086010690-2847101010690",0.16
"3",1874,"2847086010690-2847101010690",0.43
"4",1875,"2847086010690-2847101010690",0.61
"5",1876,"2847086010690-2847101010690",0.56
"6",1877,"2847086010690-2847101010690",0.28
"7",1878,"2847086010690-2847101010690",0.08
"8",1879,"2847086010690-2847101010690",0.34
"9",1880,"2847086010690-2847101010690",0.34
"10",1881,"2847086010690-2847101010690",0.85
"11",1882,"2847086010690-2847101010690",0.37
"12",1883,"2847086010690-2847101010690",0.47
"13",1884,"2847086010690-2847101010690",0.53
"14",1885,"2847086010690-2847101010690",0.46
"15",1886,"2847086010690-2847101010690",0.78
"16",1887,"2847086010690-2847101010690",1.38
"17",1888,"2847086010690-2847101010690",1.31
"18",1889,"2847086010690-2847101010690",1.04
"19",1890,"2847086010690-2847101010690",0.9
"20",1891,"2847086010690-2847101010690",0.87
"21",1892,"2847086010690-2847101010690",0.8
"22",1893,"2847086010690-2847101010690",0.91
"23",1894,"2847086010690-2847101010690",0.85
"24",1895,"2847086010690-2847101010690",0.97
"25",1896,"2847086010690-2847101010690",0.8
"26",1897,"2847086010690-2847101010690",0.74
"27",1898,"2847086010690-2847101010690",0.9
"28",1899,"2847086010690-2847101010690",0.68
"29",1900,"2847086010690-2847101010690",0.74
"30",1901,"2847086010690-2847101010690",0.67
"31",1902,"2847086010690-2847101010690",0.72
"32",1903,"2847086010690-2847101010690",0.87
"33",1904,"2847086010690-2847101010690",0.9
"34",1905,"2847086010690-2847101010690",0.77
"35",1906,"2847086010690-2847101010690",0.98
"36",1907,"2847086010690-2847101010690",0.75
"37",1908,"2847086010690-2847101010690",0.71
"38",1909,"2847086010690-2847101010690",0.83
"39",1910,"2847086010690-2847101010690",0.77
"40",1911,"2847086010690-2847101010690",0.8
"41",1912,"2847086010690-2847101010690",0.61
"42",1913,"2847086010690-2847101010690",0.8
"43",1914,"2847086010690-2847101010690",1.01
"44",1915,"2847086010690-2847101010690",0.88
"45",1916,"2847086010690-2847101010690",0.91
"46",1917,"2847086010690-2847101010690",0.61
"47",1918,"2847086010690-2847101010690",0.62
"48",1919,"2847086010690-2847101010690",0.48
"49",1920,"2847086010690-2847101010690",0.31
"50",1921,"2847086010690-2847101010690",0.49
"51",1922,"2847086010690-2847101010690",0.54
"52",1923,"2847086010690-2847101010690",0.44
"53",1924,"2847086010690-2847101010690",0.4
"54",1925,"2847086010690-2847101010690",0.42
"55",1926,"2847086010690-2847101010690",0.56
"56",1927,"2847086010690-2847101010690",0.31
"57",1928,"2847086010690-2847101010690",0.33
"58",1929,"2847086010690-2847101010690",0.3
"59",1930,"2847086010690-2847101010690",0.26
"60",1931,"2847086010690-2847101010690",0.18
"61",1932,"2847086010690-2847101010690",0.4
"62",1933,"2847086010690-2847101010690",0.35
"63",1934,"2847086010690-2847101010690",0.34
"64",1935,"2847086010690-2847101010690",0.48
"65",1936,"2847086010690-2847101010690",0.69
"66",1937,"2847086010690-2847101010690",0.64
"67",1938,"2847086010690-2847101010690",1.29
"68",1939,"2847086010690-2847101010690",1.18
"69",1940,"2847086010690-2847101010690",1.28
"70",1941,"2847086010690-2847101010690",1.41
"71",1942,"2847086010690-2847101010690",1.64
"72",1943,"2847086010690-2847101010690",1.07
"73",1944,"2847086010690-2847101010690",1.88
"74",1945,"2847086010690-2847101010690",1.57
"75",1946,"2847086010690-2847101010690",1.46
