age_CE,FLLM01B_raw,FLLM03B_raw,FLLM05A_raw,FLLM09B_raw,FLLM10B_raw,FLLM11A_raw,FLLM12A_raw,FLLM14A_raw,FLLM15B_raw,FLLM01B_raw_outlier_flag,FLLM03B_raw_outlier_flag,FLLM05A_raw_outlier_flag,FLLM09B_raw_outlier_flag,FLLM10B_raw_outlier_flag,FLLM11A_raw_outlier_flag,FLLM12A_raw_outlier_flag,FLLM14A_raw_outlier_flag,FLLM15B_raw_outlier_flag
1865,NA,NA,NA,NA,1.89,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1866,NA,NA,NA,NA,1.98,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1867,NA,NA,NA,NA,1.55,NA,NA,NA,0.43,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
1868,NA,NA,NA,NA,2.36,NA,NA,NA,0.81,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
1869,NA,NA,NA,NA,2.07,NA,NA,NA,0.65,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
1870,NA,NA,NA,NA,1.58,NA,NA,NA,0.35,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
1871,NA,NA,NA,NA,1.36,NA,NA,NA,0.68,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
1872,NA,NA,NA,NA,1.15,NA,NA,NA,0.99,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
1873,NA,NA,NA,NA,0.98,NA,NA,NA,1.04,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
1874,NA,NA,NA,NA,1.11,NA,NA,NA,1.95,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
1875,0.76,NA,NA,NA,1.43,NA,NA,NA,1.23,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE
1876,1.28,NA,NA,NA,1.08,NA,NA,NA,0.6,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE
1877,1.47,NA,NA,NA,1.55,NA,NA,NA,1.92,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE
1878,1.36,NA,NA,NA,1.46,NA,NA,NA,1.5,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE
1879,0.65,NA,NA,NA,0.58,NA,NA,NA,0.7,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE
1880,0.45,NA,NA,NA,0.78,NA,NA,NA,0.79,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE
1881,0.88,NA,NA,NA,1.08,NA,2.57,NA,1.35,FALSE,NA,NA,NA,FALSE,NA,TRUE,NA,FALSE
1882,1.89,NA,NA,NA,1.3,NA,2.05,NA,2.38,FALSE,NA,NA,NA,FALSE,NA,TRUE,NA,TRUE
1883,1.62,NA,NA,NA,1.37,NA,1.18,NA,1.4,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE
1884,1.74,NA,NA,NA,1.66,NA,1.52,NA,1.25,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE
1885,1.68,NA,NA,NA,1.83,NA,1.57,NA,1.03,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE
1886,1.54,NA,NA,NA,1.65,NA,1.17,NA,0.71,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE
1887,0.64,NA,NA,NA,1.23,NA,0.86,NA,1.31,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE
1888,1.5,NA,NA,NA,2.13,NA,1.85,NA,2.14,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,TRUE
1889,1.72,NA,NA,NA,2.06,NA,1.96,NA,1.54,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE
1890,1.34,NA,NA,NA,2.27,NA,1.36,NA,0.93,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE
1891,1.29,NA,NA,NA,2.51,NA,1.34,NA,0.79,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE
1892,0.69,NA,NA,NA,1.62,0.55,0.73,NA,0.54,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE
1893,0.7,NA,NA,1.24,1.43,0.59,0.62,NA,0.56,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1894,0.61,NA,NA,1.4,0.99,0.36,0.74,NA,0.51,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1895,1.12,NA,1.69,1.5,1.93,1.08,1.56,NA,0.75,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1896,1.2,NA,1.18,1.09,1.94,1.42,0.96,NA,0.78,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1897,1.36,NA,1.36,1.36,2.32,1.66,1.06,NA,0.78,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1898,1.11,NA,2.08,1.37,1.91,1.33,1.43,NA,0.89,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1899,1.11,NA,1.03,1.04,1.21,0.7,0.99,NA,0.81,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1900,1.61,1.86,1.49,1.67,2.33,1.82,1.72,NA,1.31,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1901,1.09,0.83,1.05,1.69,1.75,1.65,1.27,1.54,0.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
