age_CE,SUT41A_raw,SUT42A_raw,SUT43A_raw,SUT41A_raw_outlier_flag,SUT42A_raw_outlier_flag,SUT43A_raw_outlier_flag
1808,NA,NA,2.888,NA,NA,FALSE
1809,NA,NA,2.984,NA,NA,FALSE
1810,NA,NA,3.35,NA,NA,FALSE
1811,NA,NA,2.833,NA,NA,FALSE
1812,NA,NA,3.052,NA,NA,FALSE
1813,NA,NA,3.251,NA,NA,FALSE
1814,NA,NA,3.451,NA,NA,FALSE
1815,NA,NA,2.51,NA,NA,FALSE
1816,NA,NA,2.829,NA,NA,FALSE
1817,NA,NA,2.162,NA,NA,FALSE
1818,NA,NA,1.326,NA,NA,FALSE
1819,NA,NA,1.83,NA,NA,FALSE
1820,NA,NA,2.381,NA,NA,FALSE
1821,NA,NA,2.84,NA,NA,FALSE
1822,NA,NA,3.328,NA,NA,FALSE
1823,NA,NA,2.805,NA,NA,FALSE
1824,NA,NA,3.216,NA,NA,FALSE
1825,NA,NA,3.821,NA,NA,TRUE
1826,NA,NA,2.805,NA,NA,FALSE
1827,NA,NA,2.578,NA,NA,FALSE
1828,NA,NA,1.909,NA,NA,FALSE
1829,NA,NA,0.885,NA,NA,FALSE
1830,NA,NA,0.597,NA,NA,FALSE
1831,NA,NA,0.585,NA,NA,FALSE
1832,NA,NA,0.707,NA,NA,FALSE
1833,NA,NA,1.415,NA,NA,FALSE
1834,NA,NA,1.839,NA,NA,FALSE
1835,NA,NA,2.28,NA,NA,FALSE
1836,NA,NA,3.123,NA,NA,FALSE
1837,NA,NA,2.061,NA,NA,FALSE
1838,NA,NA,3.086,NA,NA,FALSE
1839,NA,NA,2.205,NA,NA,FALSE
1840,NA,NA,1.79,NA,NA,FALSE
1841,NA,NA,1.601,NA,NA,FALSE
1842,NA,NA,2.642,NA,NA,FALSE
1843,NA,NA,1.93,NA,NA,FALSE
1844,NA,NA,2.175,NA,NA,FALSE
1845,NA,NA,1.888,NA,NA,FALSE
1846,NA,NA,2.723,NA,NA,FALSE
1847,NA,NA,2.027,NA,NA,FALSE
1848,NA,NA,1.936,NA,NA,FALSE
1849,NA,NA,1.75,NA,NA,FALSE
1850,NA,NA,1.054,NA,NA,FALSE
1851,NA,NA,2.049,NA,NA,FALSE
1852,NA,NA,1.416,NA,NA,FALSE
1853,NA,NA,1.831,NA,NA,FALSE
1854,NA,NA,1.678,NA,NA,FALSE
1855,NA,NA,1.991,NA,NA,FALSE
1856,NA,NA,2.372,NA,NA,FALSE
1857,NA,NA,1.266,NA,NA,FALSE
1858,NA,NA,1.457,NA,NA,FALSE
1859,NA,NA,1.522,NA,NA,FALSE
1860,NA,NA,2.274,NA,NA,FALSE
1861,NA,NA,1.901,NA,NA,FALSE
1862,NA,NA,1.791,NA,NA,FALSE
