tree,n_missing_total,n_missing_1980_on,n_outliers_total
FRE01B_raw,47,0,13
FRE01C_raw,21,0,13
FRE02A_raw,0,0,13
FRE03A_raw,388,0,1
FRE03B_raw,405,0,0
FRE04A_raw,387,0,6
FRE04B_raw,381,0,3
FRE06A_raw,373,0,0
FRE06B_raw,372,0,3
FRE06C_raw,388,0,5
FRE08A_raw,326,0,0
FRE08B_raw,310,0,1
FRE08C_raw,301,0,0
FRE09A_raw,373,0,0
FRE09B_raw,377,0,1
FRE09C_raw,431,0,2
FRE11B_raw,408,0,0
FRE11C_raw,420,0,2
FRE14B_raw,385,0,8
FRE15B_raw,393,0,5
FRE16A_raw,388,0,3
FRE16B_raw,283,0,3
FRE20A_raw,385,0,1
FRE20D_raw,343,0,0
FRE21A_raw,329,0,2
FRE21D_raw,311,0,3
FRE23A_raw,387,0,0
FRE23B_raw,379,0,1
FRE24A_raw,179,0,4
FRE24B_raw,222,0,2
FRE24C_raw,387,0,4
FRE26A_raw,380,0,0
FRE28A_raw,390,0,0
FRE28B_raw,389,0,1
FRE29B_raw,384,0,1
FRE30A_raw,379,0,3
FRE30B_raw,360,0,1
FRE31A_raw,356,0,2
FRE31B_raw,374,0,0
FRE32A_raw,357,0,1
FRE33A_raw,400,0,0
FRE33B_raw,358,0,0
FRE34A_raw,360,0,0
FRE34B_raw,326,0,3
FRE34C_raw,320,0,2
FRE34D_raw,381,0,2
FRE34E_raw,331,0,0
FRE35B_raw,334,0,0
FRE37A_raw,358,0,3
FRE37B_raw,374,0,1
FRE38B_raw,374,0,1
FRE38C_raw,364,0,4
FRE39D_raw,412,0,1
FRE40B_raw,381,0,2
FRE42A_raw,380,0,3
FRE43A_raw,243,0,5
FRE43B_raw,386,0,0
FRE45A_raw,385,0,5
FRE45B_raw,388,0,2
