tree,n_missing_total,n_missing_1980_on,n_outliers_total
RCB010A_raw,2242,0,5
RCB010B_raw,2154,0,1
RCB012A_raw,1867,0,3
RCB012B_raw,1929,0,12
RCB018A_raw,2147,10,6
RCB018B_raw,2191,0,7
RCB022A_raw,2156,43,1
RCB022B_raw,2201,0,8
RCB025A_raw,2069,50,6
RCB025B_raw,2078,0,2
RCB026A_raw,1973,0,7
RCB026B_raw,2082,0,7
RCB044A_raw,2126,0,3
RCB044B_raw,2211,0,1
RCB044C_raw,2211,0,3
RCB045B_raw,1733,410,1
RCB046A_raw,2154,0,1
RCB051A_raw,2024,0,3
RCB051B_raw,2171,0,1
RCB053A_raw,2201,0,4
RCB059A_raw,1163,1011,3
RCB059B_raw,1060,911,7
RCB071A_raw,2180,0,1
RCB071B_raw,2176,0,4
RCB072A_raw,2079,0,4
RCB072B_raw,2186,0,8
RCB073A_raw,1500,0,0
RCB073B_raw,1591,193,16
RCB074A_raw,2230,0,2
RCB074B_raw,1834,0,0
RCB075A_raw,1513,0,3
RCB075B_raw,1524,0,2
RCB077A_raw,641,1137,5
RCB083A_raw,2134,0,1
RCB083B_raw,2123,0,5
RCB100A_raw,1574,220,13
RCB100B_raw,1574,216,12
RCB101A_raw,1895,0,4
RCB101B_raw,1624,0,9
RCB102A_raw,2099,0,0
RCB102B_raw,2095,0,3
RCB103A_raw,1354,0,7
RCB103B_raw,833,0,25
RCB103C_raw,1522,0,8
RCB104B_raw,1592,0,15
RCB105A_raw,1691,0,3
RCB105B_raw,1717,0,1
RCB106A_raw,1609,0,5
RCB106B_raw,1708,0,9
RCB106C_raw,1711,0,2
RCB107A_raw,1613,0,11
RCB107B_raw,642,0,38
RCB108A_raw,1621,0,6
RCB108B_raw,1378,131,1
RCB109A_raw,1637,0,3
RCB109B_raw,1688,0,4
RCB111A_raw,1303,0,11
RCB111B_raw,1424,0,6
RCB112A_raw,660,0,9
RCB112B_raw,730,0,10
RCB118B_raw,979,1225,3
RCB119A_raw,844,688,17
RCB119B_raw,874,1319,0
RCB122A_raw,1044,1040,6
RCB123A_raw,636,620,5
RCB123B_raw,691,800,8
RCB124A_raw,210,1369,11
RCB124B_raw,217,1428,3
RCB125A_raw,278,1113,19
RCB125B_raw,278,1292,14
RCB128A_raw,1464,666,1
RCB130A_raw,0,1898,7
RCB130B_raw,0,2207,2
RCB132A_raw,382,1769,4
RCB132B_raw,382,1844,2
RCB133A_raw,436,1797,4
RCB134A_raw,1264,681,12
RCB134B_raw,1260,807,7
RCB136A_raw,574,1630,1
RCB176_raw,2028,30,4
RCB178A_raw,1832,84,9
RCB178B_raw,1831,153,6
RCB182A_raw,2103,0,5
RCB182C_raw,2124,0,5
RCB183A_raw,1288,0,17
RCB184A_raw,1753,334,3
RCB184B_raw,1733,0,1
RCB185A_raw,1958,0,1
RCB185B_raw,1224,506,7
RCB187A_raw,1736,0,22
RCB187B_raw,1645,0,2
RCB188A_raw,864,639,7
RCB188B_raw,1164,0,12
RCB189A_raw,2061,0,5
RCB189B_raw,2043,0,0
RCB190A_raw,1609,0,17
RCB190B_raw,1636,0,8
RCB191A_raw,1489,0,2
RCB191B_raw,1452,0,1
RCB192A_raw,1388,0,1
RCB192B_raw,1270,730,5
RCB193A_raw,1343,0,22
RCB193B_raw,1295,0,32
RCB194A_raw,945,208,14
RCB194B_raw,1144,826,2
RCB195A_raw,879,1211,2
RCB199A_raw,507,1041,3
RCB199B_raw,604,1037,5
RCB238A_raw,1341,574,16
RCB238B_raw,1341,533,3
