age_CE,FTV01A_raw,FTV02A_raw,FTV02B_raw,FTV04A_raw,FTV04B_raw,FTV05A_raw,FTV05B_raw,FTV06A_raw,FTV06B_raw,FTV07A_raw,FTV07B_raw,FTV08A_raw,FTV08B_raw,FTV09A_raw,FTV09B_raw,FTV10A_raw,FTV10B_raw,FTV11A_raw,FTV11B_raw,FTV12A_raw,FTV12B_raw,FTV13A_raw,FTV13B_raw,FTV14A_raw,FTV14B_raw,FTV15A_raw,FTV15B_raw,FTV16A_raw,FTV16B_raw,FTV17B_raw,FTV19B_raw,FTV20B_raw,FTV01A_raw_outlier_flag,FTV02A_raw_outlier_flag,FTV02B_raw_outlier_flag,FTV04A_raw_outlier_flag,FTV04B_raw_outlier_flag,FTV05A_raw_outlier_flag,FTV05B_raw_outlier_flag,FTV06A_raw_outlier_flag,FTV06B_raw_outlier_flag,FTV07A_raw_outlier_flag,FTV07B_raw_outlier_flag,FTV08A_raw_outlier_flag,FTV08B_raw_outlier_flag,FTV09A_raw_outlier_flag,FTV09B_raw_outlier_flag,FTV10A_raw_outlier_flag,FTV10B_raw_outlier_flag,FTV11A_raw_outlier_flag,FTV11B_raw_outlier_flag,FTV12A_raw_outlier_flag,FTV12B_raw_outlier_flag,FTV13A_raw_outlier_flag,FTV13B_raw_outlier_flag,FTV14A_raw_outlier_flag,FTV14B_raw_outlier_flag,FTV15A_raw_outlier_flag,FTV15B_raw_outlier_flag,FTV16A_raw_outlier_flag,FTV16B_raw_outlier_flag,FTV17B_raw_outlier_flag,FTV19B_raw_outlier_flag,FTV20B_raw_outlier_flag
1815,NA,NA,2.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1816,NA,NA,2.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1817,NA,NA,2.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1818,NA,NA,2.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1819,NA,NA,2.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,NA,NA,2.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.238,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1821,NA,NA,3.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.869,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1822,NA,NA,2.044,NA,NA,2.583,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.157,NA,NA,FALSE,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1823,NA,NA,2.705,NA,NA,2.612,2.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.813,NA,NA,FALSE,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1824,NA,NA,3.306,NA,NA,1.824,2.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.457,NA,NA,TRUE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
