age_CE,DON06A_raw,DON06B_raw,DON07A_raw,DON07B_raw,DON08A_raw,DON08B_raw,DON09B_raw,DON10A_raw,DON10B_raw,DON11A_raw,DON11B_raw,DON06A_raw_outlier_flag,DON06B_raw_outlier_flag,DON07A_raw_outlier_flag,DON07B_raw_outlier_flag,DON08A_raw_outlier_flag,DON08B_raw_outlier_flag,DON09B_raw_outlier_flag,DON10A_raw_outlier_flag,DON10B_raw_outlier_flag,DON11A_raw_outlier_flag,DON11B_raw_outlier_flag
1510,NA,NA,NA,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
1511,NA,NA,NA,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
1512,NA,NA,NA,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
1513,NA,NA,NA,3.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
1514,NA,NA,NA,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
1515,NA,NA,NA,3.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
1516,NA,NA,NA,3.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
1517,NA,NA,NA,3.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
1518,NA,NA,NA,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
1519,NA,NA,NA,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
1520,NA,NA,NA,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
1521,NA,NA,NA,2.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
1522,NA,NA,NA,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
1523,NA,NA,NA,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
1524,NA,NA,NA,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
1525,NA,NA,NA,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
1526,NA,NA,NA,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
1527,NA,NA,NA,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
1528,NA,NA,NA,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
1529,NA,NA,NA,1.95,NA,2.91,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA
1530,NA,NA,NA,1.19,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA
1531,NA,NA,NA,1.74,NA,2.58,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA
1532,NA,NA,NA,1.7,NA,2.17,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA
1533,NA,NA,NA,0.87,NA,1.96,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA
1534,NA,NA,NA,2.15,NA,2.51,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA
1535,NA,NA,NA,1.89,NA,2.07,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA
1536,NA,NA,NA,1.9,NA,2.95,NA,NA,NA,NA,3.45,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE
1537,NA,NA,NA,1.21,NA,2.73,NA,NA,NA,NA,3,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE
1538,NA,NA,NA,1.69,NA,2.65,NA,NA,NA,NA,2.07,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE
1539,NA,NA,NA,2.94,NA,2.79,NA,NA,NA,NA,3.15,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE
1540,NA,NA,NA,2.12,NA,2.61,NA,NA,NA,NA,2.42,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE
1541,NA,NA,NA,1.4,NA,2.51,NA,NA,NA,NA,3.42,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE
1542,NA,NA,NA,2.13,NA,3.02,NA,NA,NA,NA,3.4,NA,NA,NA,FALSE,NA,TRUE,NA,NA,NA,NA,FALSE
1543,NA,NA,NA,2.41,NA,2.87,NA,NA,NA,NA,2.88,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE
1544,NA,NA,NA,2.94,NA,3.84,NA,NA,NA,NA,2.83,NA,NA,NA,FALSE,NA,TRUE,NA,NA,NA,NA,FALSE
1545,NA,NA,NA,2.3,NA,3.5,NA,NA,NA,NA,2.64,NA,NA,NA,FALSE,NA,TRUE,NA,NA,NA,NA,FALSE
1546,NA,NA,NA,1.73,NA,1.81,NA,NA,NA,NA,1.52,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE
1547,NA,NA,NA,2.27,NA,2.59,NA,NA,NA,NA,2.15,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE
1548,NA,NA,NA,2.32,NA,2.23,NA,NA,NA,NA,2.22,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE
1549,NA,NA,NA,1.73,NA,2.33,NA,NA,NA,NA,2.54,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE
1550,NA,NA,2.9,2.12,3.09,3.05,NA,NA,NA,NA,2.56,NA,NA,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,FALSE
1551,NA,NA,3.33,2.34,3.32,2.59,NA,NA,NA,NA,3.36,NA,NA,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA,FALSE
1552,NA,NA,2.57,1.98,3.88,3.42,NA,NA,NA,NA,3.04,NA,NA,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,FALSE
1553,NA,NA,2.58,2.03,2.39,2.73,NA,NA,NA,NA,2.53,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE
1554,NA,NA,1.97,1.4,2.65,2.31,NA,NA,NA,NA,1.7,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE
1555,NA,NA,2.16,1.19,2.61,2.71,NA,NA,NA,NA,1.92,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE
